issn,scope,index,h_index,quartile.year,quartile.quartile_value,sjr.year,sjr.sjr_value,impact_factor.year,impact_factor.impact_factor_value,quartile
,N/A,WOS,N/A,,,N/A,N/A,N/A,N/A,N/A
2052-2541,Information not localized,WOS,15,2023,Q4,2023,0.200,2023,0.644,
2052-2541,Information not localized,WOS,15,2023,Q4,2023,0.200,2023,0.644,
2052-2541,Information not localized,WOS,15,2023,Q4,2023,0.200,2023,0.644,
2052-2541,Information not localized,WOS,15,2023,Q4,2023,0.200,2023,0.644,
2052-2541,Information not localized,WOS,15,2023,Q4,2023,0.200,2023,0.644,
2052-2541,Information not localized,WOS,15,2023,Q4,2023,0.200,2023,0.644,
2080-0886,"The Central European Journal of Economic Modelling and Econometrics (CEJEME) is a quarterly international journal. It aims to publish articles focusing on mathematical or statistical models in economic sciences. Papers covering the application of existing econometric techniques to a wide variety of problems in economics, in particular in macroeconomics and finance are welcome. Advanced empirical studies devoted to modelling and forecasting of Central and Eastern European economies are of particular interest. Any rigorous methods of statistical inference can be used and articles representing Bayesian econometrics are decidedly within the range of the Journal's interests.",WOS,6,2023,Q4,2023,0.126,2023,0.484,
2052-2541,Information not localized,WOS,15,2023,Q4,2023,0.200,2023,0.644,
0302-9743,This distinguished conference proceedings series publishes the latest research developments in all areas of computer science.,WOS,470,2023,Q2,2023,0.606,2023,1.090,
2296-9020,The Journal publishes high quality papers on elliptic and parabolic issues. It includes theoretical aspects as well as applications and numerical analysis. The submitted papers will undergo a referee process which will be run efficiently and as short as possible.,WOS,11,2023,Q2,2023,0.482,2023,1.204,
1937-1632,"Series S of Discrete and Continuous Dynamical Systems only publishes theme issues. Each issue is devoted to a specific area of the mathematical, physical and engineering sciences. This area will define a research frontier that is advancing rapidly, often bridging mathematics and sciences. DCDS-S is essential reading for mathematicians, physicists, engineers and other physical scientists. The journal is published bimonthly.",WOS,40,2023,Q2,2023,0.541,2023,1.591,
0373-3505,"The journal ""Le Matematiche"" publishes original research articles of pure and applied mathematics and informatics. The journal can also publish proceedings of meetings.",WOS,7,2023,Q3,2023,0.291,2023,0.520,
1370-1444,"The Bulletin of the Belgian Mathematical Society - Simon Stevin (BBMS) is a peer-reviewed journal devoted to recent developments in all areas in pure and applied mathematics. It is published as one yearly volume, containing five issues. The main focus lies on high level original research papers. They should aim to a broader mathematical audience in the sense that a well-written introduction is attractive to mathematicians outside the circle of experts in the subject, bringing motivation, background information, history and philosophy. The content has to be substantial enough: short one-small-result papers will not be taken into account in general, unless there are some particular arguments motivating publication, like an original point of view, a new short proof of a famous result etc. The BBMS also publishes expository papers that bring the state of the art of a current mainstream topic in mathematics. Here it is even more important that at leat a substantial part of the paper is accessible to a broader audience of mathematicians. The BBMS publishes papers in English, Dutch, French and German. All papers should have an abstract in English.",WOS,33,2023,Q3,2023,0.315,2023,0.410,
1370-1444,"The Bulletin of the Belgian Mathematical Society - Simon Stevin (BBMS) is a peer-reviewed journal devoted to recent developments in all areas in pure and applied mathematics. It is published as one yearly volume, containing five issues. The main focus lies on high level original research papers. They should aim to a broader mathematical audience in the sense that a well-written introduction is attractive to mathematicians outside the circle of experts in the subject, bringing motivation, background information, history and philosophy. The content has to be substantial enough: short one-small-result papers will not be taken into account in general, unless there are some particular arguments motivating publication, like an original point of view, a new short proof of a famous result etc. The BBMS also publishes expository papers that bring the state of the art of a current mainstream topic in mathematics. Here it is even more important that at leat a substantial part of the paper is accessible to a broader audience of mathematicians. The BBMS publishes papers in English, Dutch, French and German. All papers should have an abstract in English.",WOS,33,2023,Q3,2023,0.315,2023,0.410,
1433-2833,"The large number of existing documents and the production of a multitude of new ones every year raise important issues in efficient handling, retrieval and storage of these documents and the information which they contain. This has led to the emergence of new research domains dealing with the recognition by computers of the constituent elements of documents - including characters, symbols, text, lines, graphics, images, handwriting, signatures, etc. In addition, these new domains deal with automatic analyses of the overall physical and logical structures of documents, with the ultimate objective of a high-level understanding of their semantic content. We have also seen renewed interest in optical character recognition (OCR) and handwriting recognition during the last decade. Document analysis and recognition are obviously the next stage. Automatic, intelligent processing of documents is at the intersections of many fields of research, especially of computer vision, image analysis, pattern recognition and artificial intelligence, as well as studies on reading, handwriting and linguistics. Although quality document related publications continue to appear in journals dedicated to these domains, the community will benefit from having this journal as a focal point for archival literature dedicated to document analysis and recognition.",WOS,59,2023,Q1,2023,1.409,2023,3.260,
2413-9351,Information not localized,WOS,10,2023,Q3,2023,0.284,2023,1.278,
1433-2833,"The large number of existing documents and the production of a multitude of new ones every year raise important issues in efficient handling, retrieval and storage of these documents and the information which they contain. This has led to the emergence of new research domains dealing with the recognition by computers of the constituent elements of documents - including characters, symbols, text, lines, graphics, images, handwriting, signatures, etc. In addition, these new domains deal with automatic analyses of the overall physical and logical structures of documents, with the ultimate objective of a high-level understanding of their semantic content. We have also seen renewed interest in optical character recognition (OCR) and handwriting recognition during the last decade. Document analysis and recognition are obviously the next stage. Automatic, intelligent processing of documents is at the intersections of many fields of research, especially of computer vision, image analysis, pattern recognition and artificial intelligence, as well as studies on reading, handwriting and linguistics. Although quality document related publications continue to appear in journals dedicated to these domains, the community will benefit from having this journal as a focal point for archival literature dedicated to document analysis and recognition.",WOS,59,2023,Q1,2023,1.409,2023,3.260,
2413-9351,Information not localized,WOS,10,2023,Q3,2023,0.284,2023,1.278,
0952-8091,"IJCAT addresses issues of computer applications, information and communication systems, software engineering and management, CAD/CAM/CAE, numerical analysis and simulations, finite element methods and analyses, robotics, computer applications in multimedia and new technologies, computer aided learning and training. Topics covered include: -Computer applications in engineering and technology- Computer control system design- CAD/CAM, CAE, CIM and robotics- Computer applications in knowledge-based and expert systems- Computer applications in information technology and communication- Computer-integrated material processing (CIMP)- Computer-aided learning (CAL)- Computer modelling and simulation- Synthetic approach for engineering- Man-machine interface- Software engineering and management- Management techniques and methods- Human computer interaction- Real-time systems",WOS,32,2023,Q3,2023,0.313,2023,1.876,
1863-1703,"The journal is an interdisciplinary journal presenting the theory and practice of signal, image and video processing. It aims at: - Disseminating high level research results and engineering developments to all signal, image or video processing researchers and research groups. - Presenting practical solutions for the current signal, image and video processing problems in Engineering and  Science. Subject areas covered by the journal include but are not limited to: Adaptive processing – biomedical signal processing – multimedia signal processing – communication signal processing – non-linear signal processing – array processing – statistics and statistical signal processing – modeling – filtering – data science – graph signal processing – multi-resolution signal analysis and wavelets – segmentation – coding – restoration – enhancement – storage and retrieval – colour and multi-spectral processing – scanning – displaying – printing – interpolation – image processing - video processing-motion detection and estimation – stereoscopic processing – image and video coding.",WOS,53,2023,Q2,2023,0.558,2023,3.197,
1433-2833,"The large number of existing documents and the production of a multitude of new ones every year raise important issues in efficient handling, retrieval and storage of these documents and the information which they contain. This has led to the emergence of new research domains dealing with the recognition by computers of the constituent elements of documents - including characters, symbols, text, lines, graphics, images, handwriting, signatures, etc. In addition, these new domains deal with automatic analyses of the overall physical and logical structures of documents, with the ultimate objective of a high-level understanding of their semantic content. We have also seen renewed interest in optical character recognition (OCR) and handwriting recognition during the last decade. Document analysis and recognition are obviously the next stage. Automatic, intelligent processing of documents is at the intersections of many fields of research, especially of computer vision, image analysis, pattern recognition and artificial intelligence, as well as studies on reading, handwriting and linguistics. Although quality document related publications continue to appear in journals dedicated to these domains, the community will benefit from having this journal as a focal point for archival literature dedicated to document analysis and recognition.",WOS,59,2023,Q1,2023,1.409,2023,3.260,
2413-9351,Information not localized,WOS,10,2023,Q3,2023,0.284,2023,1.278,
0952-8091,"IJCAT addresses issues of computer applications, information and communication systems, software engineering and management, CAD/CAM/CAE, numerical analysis and simulations, finite element methods and analyses, robotics, computer applications in multimedia and new technologies, computer aided learning and training. Topics covered include: -Computer applications in engineering and technology- Computer control system design- CAD/CAM, CAE, CIM and robotics- Computer applications in knowledge-based and expert systems- Computer applications in information technology and communication- Computer-integrated material processing (CIMP)- Computer-aided learning (CAL)- Computer modelling and simulation- Synthetic approach for engineering- Man-machine interface- Software engineering and management- Management techniques and methods- Human computer interaction- Real-time systems",WOS,32,2023,Q3,2023,0.313,2023,1.876,
,N/A,WOS,N/A,,,N/A,N/A,N/A,N/A,N/A
1064-1246,"The purpose of the Journal of Intelligent & Fuzzy Systems: Applications in Engineering and Technology is to foster advancements of knowledge and help disseminate results concerning recent applications and case studies in the areas of fuzzy logic, intelligent systems, and web-based applications among working professionals and professionals in education and research, covering a broad cross-section of technical disciplines. The journal will publish original articles on current and potential applications, case studies, and education in intelligent systems, fuzzy systems, and web-based systems for engineering and other technical fields in science and technology. The journal focuses on the disciplines of computer science, electrical engineering, manufacturing engineering, industrial engineering, chemical engineering, mechanical engineering, civil engineering, engineering management, bioengineering, and biomedical engineering. The scope of the journal also includes developing technologies in mathematics, operations research, technology management, the hard and soft  sciences, and technical, social and environmental issues.",WOS,82,2023,Q3,2023,0.378,2023,2.020,
,N/A,WOS,N/A,,,N/A,N/A,N/A,N/A,N/A
0302-9743,This distinguished conference proceedings series publishes the latest research developments in all areas of computer science.,WOS,470,2023,Q2,2023,0.606,2023,1.090,
0952-8091,"IJCAT addresses issues of computer applications, information and communication systems, software engineering and management, CAD/CAM/CAE, numerical analysis and simulations, finite element methods and analyses, robotics, computer applications in multimedia and new technologies, computer aided learning and training. Topics covered include: -Computer applications in engineering and technology- Computer control system design- CAD/CAM, CAE, CIM and robotics- Computer applications in knowledge-based and expert systems- Computer applications in information technology and communication- Computer-integrated material processing (CIMP)- Computer-aided learning (CAL)- Computer modelling and simulation- Synthetic approach for engineering- Man-machine interface- Software engineering and management- Management techniques and methods- Human computer interaction- Real-time systems",WOS,32,2023,Q3,2023,0.313,2023,1.876,
2194-5357,"The series ""Advances in Intelligent Systems and Computing"" contains publications on theory, applications, and design methods of Intelligent Systems and Intelligent Computing. Virtually all disciplines such as engineering, natural  sciences, computer and information science, ICT, economics, business, e-commerce, environment, healthcare, life science are covered. The list of topics spans all the areas of modern intelligent systems and computing such as: computational intelligence, soft computing including neural networks, fuzzy systems, evolutionary computing and the fusion of these paradigms, social intelligence, ambient intelligence, computational neuroscience, artificial life, virtual worlds and society, cognitive science and systems, Perception and Vision, DNA and immune based systems, self-organizing and adaptive systems, e-Learning and teaching, human-centered and human-centric computing, recommender systems, intelligent control, robotics and mechatronics including human-machine teaming, knowledge-based paradigms, learning paradigms, machine ethics, intelligent data analysis, knowledge management, intelligent agents, intelligent decision making and support, intelligent network security, trust management, interactive entertainment, Web intelligence and multimedia. The publications within ""Advances in Intelligent Systems and Computing"" are primarily proceedings of important conferences, symposia and congresses. They cover significant recent developments in the field, both of a foundational and applicable character. An important characteristic feature of the series is the short publication time and world-wide distribution. This permits a rapid and broad dissemination of research results.",WOS,69,2021,Q4,2021,0.215,2021,0.634,
1335-9150,"Main Journal Topics: COMPUTER ARCHITECTURES AND NETWORKING PARALLEL AND DISTRIBUTED COMPUTING THEORETICAL FOUNDATIONS SOFTWARE ENGINEERING KNOWLEDGE AND INFORMATION ENGINEERING Apart from the main topics given above, the Editorial Board welcomes papers from other areas of computing and informatics.",WOS,31,2023,Q4,2023,0.258,2023,0.895,
0894-1491,"GLIA is a peer-reviewed journal, which publishes articles dealing with all aspects of glial structure and function. This includes all aspects of glial cell biology in health and disease.",WOS,186,2023,Q1,2023,2.518,2023,6.320,
,N/A,WOS,N/A,,,N/A,N/A,N/A,N/A,N/A
1989-1660,"IJIMAI publishes articles dealing with theory, methods, design, systems, algorithms, and applications of the topics listed below. The topics covered by IJIMAI include but are not limited to: -Artificial Intelligence: • AI and Multimedia techniques for enhanced accesibility systems. • AI in Games. • AI for Software Engineering. • AI for Ubiquitous Computing. • AI for Web Intelligence Applications. • AI Parallel Processing Tools (hardware/software). • AI for the Internet of Things. • AI Tools for CAD and VLSI • AI Tools for Computer Vision and Speech Understanding. • AI Tools for Multimedia, Cognitive Informatics. • AI components for Service Oriented Arquitectures (SOA). • Artificial Neural Networks. • Evolutionary Computation and nature-inspired algorithms. • Fuzzy logic systems. • Case base reasoning systems. • Heuristic and AI Planning Strategies and Tools. • Natural Language Understanding. -Data Mining and Knowledge Management: • Knowledge-Based/Expert Systems. • Knowledge Management and Processing Tools. • Knowledge Representation Languages. • Data Mining and Machine Learning Tools. -Semantic Web, Web Services an Networks: • Semantic Web. • Semantic Reasoners. • Semantic web services. • Upper ontologies. -Interactive Multimedia: • Visual Perception. • Analysis/Design/Testing. • Social networks. • Human Computer Interactions. • User Experience. • Software Applications. • Multimedia application enabling software. • System software support for multimedia. • Distance and interactive training.",WOS,23,2023,Q1,2023,0.904,2023,3.366,
0022-3042,"Journal of Neurochemistry focuses on molecular, cellular and biochemical aspects of the nervous system, the pathogenesis of neurological disorders and the development of disease specific biomarkers. It is devoted to the prompt publication of original findings of the highest  scientific priority and value that provide novel mechanistic insights, represent a clear advance over previous studies and have the potential to generate exciting future research.",WOS,257,2023,Q1,2023,1.476,2023,4.459,
0303-7207,"Molecular and Cellular Endocrinology was established in 1974 to meet the demand for integrated publication on all aspects related to the genetic and biochemical effects, synthesis and secretions of extracellular signals (hormones, neurotransmitters, etc.) and to the understanding of cellular regulatory mechanisms involved in hormonal control.",WOS,166,2023,Q2,2023,1.130,2023,4.009,
1251-8050,N/A,WOS,N/A,,,N/A,N/A,N/A,N/A,N/A
,N/A,WOS,N/A,,,N/A,N/A,N/A,N/A,N/A
,N/A,WOS,N/A,,,N/A,N/A,N/A,N/A,N/A
0025-3324,"The Marine Technology Society Journal is the flagship publication of the Marine Technology Society. It publishes the highest caliber, peer-reviewed papers, six times a year, on subjects of interest to the society: marine technology, ocean science, marine policy, and education.",WOS,50,2023,Q3,2023,0.291,2023,0.622,
1066-3711,N/A,WOS,N/A,,,N/A,N/A,N/A,N/A,N/A
,N/A,WOS,N/A,,,N/A,N/A,N/A,N/A,N/A
1335-9150,"Main Journal Topics: COMPUTER ARCHITECTURES AND NETWORKING PARALLEL AND DISTRIBUTED COMPUTING THEORETICAL FOUNDATIONS SOFTWARE ENGINEERING KNOWLEDGE AND INFORMATION ENGINEERING Apart from the main topics given above, the Editorial Board welcomes papers from other areas of computing and informatics.",WOS,31,2023,Q4,2023,0.258,2023,0.895,
,N/A,WOS,N/A,,,N/A,N/A,N/A,N/A,N/A
1738-7906,N/A,WOS,N/A,,,N/A,N/A,N/A,N/A,N/A
,N/A,WOS,N/A,,,N/A,N/A,N/A,N/A,N/A
1574-020X,"Language Resources and Evaluation is the first publication devoted to the acquisition, creation, annotation, and use of language resources, together with methods for evaluation of resources, technologies, and applications. Language resources include language data and descriptions in machine readable form used to assist and augment language processing applications, such as written or spoken corpora and lexica, multimodal resources, grammars, terminology or domain specific databases and dictionaries, ontologies, multimedia databases, etc., as well as basic software tools for their acquisition, preparation, annotation, management, customization, and use. Evaluation of language resources concerns assessing the state-of-the-art for a given technology, comparing different approaches to a given problem, assessing the availability of resources and technologies for a given application, benchmarking, and assessing system usability and user satisfaction.",WOS,61,2023,Q1,2023,0.786,2023,3.977,
1598-5865,"JAMC is a broad based journal covering all branches of computational or applied mathematics with special encouragement to researchers in theoretical computer science and mathematical computing. Major areas, such as numerical analysis, discrete optimization, linear and nonlinear programming, theory of computation, control theory, theory of algorithms, computational logic, applied combinatorics, coding theory, cryptograhics, fuzzy theory with applications, differential equations with applications are all included. A large variety of  scientific problems also necessarily involve Algebra, Analysis, Geometry, Probability and Statistics and so on. The journal welcomes research papers in all branches of mathematics which have some bearing on the application to scientific problems, including papers in the areas of Actuarial  Science, Mathematical Biology, Mathematical Economics and Finance.",WOS,45,2023,Q2,2023,0.659,2023,2.704,
0306-4379,"Information systems are the software and hardware systems that support data-intensive applications. The journal Information Systems publishes articles concerning the design and implementation of languages, data models, process models, algorithms, software and hardware for information systems. Subject areas include data management issues as presented in the principal international database conferences (e.g., ACM SIGMOD/PODS, VLDB, ICDE and ICDT/EDBT) as well as data-related issues from the fields of data mining/machine learning, information retrieval coordinated with structured data, internet and cloud data management, business process management, web semantics, visual and audio information systems, scientific computing, and data science. Implementation papers having to do with massively parallel data management, fault tolerance in practice, and special purpose hardware for data-intensive systems are also welcome. Manuscripts from application domains, such as urban informatics, social and natural science, and Internet of Things, are also welcome. All papers should highlight innovative solutions to data management problems such as new data models, performance enhancements, and show how those innovations contribute to the goals of the application.",WOS,96,2023,Q1,2023,1.201,2023,4.349,
0941-0643,"Neural Computing & Applications is an international journal which publishes original research and other information in the field of practical applications of neural computing and related techniques such as genetic algorithms, fuzzy logic and neuro-fuzzy systems. All items relevant to building practical systems are within its scope, including but not limited to: -adaptive computing- algorithms- applicable neural networks theory- applied statistics- architectures- artificial intelligence- benchmarks- case histories of innovative applications- fuzzy logic- genetic algorithms- hardware implementations- hybrid intelligent systems- intelligent agents- intelligent control systems- intelligent diagnostics- intelligent forecasting- machine learning- neural networks- neuro-fuzzy systems- pattern recognition- performance measures- self-learning systems- software simulations- supervised and unsupervised learning methods- system engineering and integration. Featured contributions fall into several categories: Original Articles, Review Articles, Book Reviews and Announcements.",WOS,130,2023,Q1,2023,1.256,2023,6.079,
2052-2541,Information not localized,WOS,15,2023,Q4,2023,0.200,2023,0.644,
1335-9150,"Main Journal Topics: COMPUTER ARCHITECTURES AND NETWORKING PARALLEL AND DISTRIBUTED COMPUTING THEORETICAL FOUNDATIONS SOFTWARE ENGINEERING KNOWLEDGE AND INFORMATION ENGINEERING Apart from the main topics given above, the Editorial Board welcomes papers from other areas of computing and informatics.",WOS,31,2023,Q4,2023,0.258,2023,0.895,
1335-9150,"Main Journal Topics: COMPUTER ARCHITECTURES AND NETWORKING PARALLEL AND DISTRIBUTED COMPUTING THEORETICAL FOUNDATIONS SOFTWARE ENGINEERING KNOWLEDGE AND INFORMATION ENGINEERING Apart from the main topics given above, the Editorial Board welcomes papers from other areas of computing and informatics.",WOS,31,2023,Q4,2023,0.258,2023,0.895,
1868-5137,"The purpose of JAIHC is to provide a high profile, leading edge forum for academics, industrial professionals, educators and policy makers involved in the field to contribute, to disseminate the most innovative researches and developments of all aspects of ambient intelligence and humanized computing, such as intelligent/smart objects, environments/spaces, and systems. The journal discusses various technical, safety, personal, social, physical, political, artistic and economic issues. The research topics covered by the journal are (but not limited to): -Pervasive/Ubiquitous Computing and Applications -Cognitive wireless sensor network -Embedded Systems and Software -Mobile Computing and Wireless  Communications -Next Generation Multimedia Systems -Security, Privacy and Trust -Service and Semantic Computing -Advanced Networking Architectures -Dependable, Reliable and Autonomic Computing -Embedded Smart Agents -Context awareness, social sensing and inference -Multi modal interaction design -Ergonomics and product prototyping -Intelligent and self-organizing transportation networks & services -Healthcare Systems -Virtual Humans & Virtual Worlds -Wearables sensors and actuators",WOS,72,2023,Q1,2023,1.038,2023,5.631,
,N/A,WOS,N/A,,,N/A,N/A,N/A,N/A,N/A
1380-7501,"Multimedia Tools and Applications publishes original research articles on multimedia development and system support tools as well as case studies of multimedia applications. It also features experimental and survey articles. The journal is intended for academics, practitioners, scientists and engineers who are involved in multimedia system research, design and applications. All papers are peer reviewed. Specific areas of interest include: - Multimedia Tools: - Multimedia Applications: - Prototype multimedia systems and platforms",WOS,106,2023,Q2,2023,0.801,2023,4.532,
0278-081X,"Rapid developments in the analog and digital processing of signals for communication, control, and computer systems have made the theory of electrical circuits and signal processing a burgeoning area of research and design. The aim of Circuits, Systems, and Signal Processing (CSSP) is to help meet the needs of outlets for significant research papers and state-of-the-art review articles in the area. The scope of the journal is broad, ranging from mathematical foundations to practical engineering design. It encompasses, but is not limited to, such topics as linear and nonlinear networks, distributed circuits and systems, multi-dimensional signals and systems, analog filters and signal processing, digital filters and signal processing, statistical signal processing, multimedia, computer aided design, graph theory, neural systems, communication circuits and systems, and VLSI signal processing. The Editorial Board is international, and papers are welcome from throughout the world. The journal is devoted primarily to research papers, but survey, expository, and tutorial papers are also published. Circuits, Systems, and Signal Processing (CSSP) is published twelve times annually.",WOS,63,2023,Q3,2023,0.509,2023,2.204,
0278-081X,"Rapid developments in the analog and digital processing of signals for communication, control, and computer systems have made the theory of electrical circuits and signal processing a burgeoning area of research and design. The aim of Circuits, Systems, and Signal Processing (CSSP) is to help meet the needs of outlets for significant research papers and state-of-the-art review articles in the area. The scope of the journal is broad, ranging from mathematical foundations to practical engineering design. It encompasses, but is not limited to, such topics as linear and nonlinear networks, distributed circuits and systems, multi-dimensional signals and systems, analog filters and signal processing, digital filters and signal processing, statistical signal processing, multimedia, computer aided design, graph theory, neural systems, communication circuits and systems, and VLSI signal processing. The Editorial Board is international, and papers are welcome from throughout the world. The journal is devoted primarily to research papers, but survey, expository, and tutorial papers are also published. Circuits, Systems, and Signal Processing (CSSP) is published twelve times annually.",WOS,63,2023,Q3,2023,0.509,2023,2.204,
0307-904X,"Applied Mathematical Modelling focuses on research related to the mathematical modelling of engineering and environmental processes, manufacturing, and industrial systems. A significant emerging area of research activity involves multiphysics processes, and contributions in this area are particularly encouraged. This influential publication covers a wide spectrum of subjects including heat transfer, fluid mechanics, CFD, and transport phenomena; solid mechanics and mechanics of metals; electromagnets and MHD; reliability modelling and system optimization; finite volume, finite element, and boundary element procedures; modelling of inventory, industrial, manufacturing and logistics systems for viable decision making; civil engineering systems and structures; mineral and energy resources; relevant software engineering issues associated with CAD and CAE; and materials and metallurgical engineering. Applied Mathematical Modelling is primarily interested in papers developing increased insights into real-world problems through novel mathematical modelling, novel applications or a combination of these. Papers employing existing numerical techniques must demonstrate sufficient novelty in the solution of practical problems. Papers on fuzzy logic in decision-making or purely financial mathematics are normally not considered. Research on fractional differential equations, bifurcation, and numerical methods needs to include practical examples. Population dynamics must solve realistic scenarios. Papers in the area of logistics and business modelling should demonstrate meaningful managerial insight. Submissions with no real-world application will not be considered.",WOS,140,2023,Q1,2023,1.000,2023,5.175,
1051-2004,"Digital Signal Processing: A Review Journal is one of the oldest and most established journals in the field of signal processing yet it aims to be the most innovative. The Journal invites top quality research articles at the frontiers of research in all aspects of signal processing. Our objective is to provide a platform for the publication of ground-breaking research in signal processing with both academic and industrial appeal. The journal has a special emphasis on statistical signal processing methodology such as Bayesian signal processing, and encourages articles on emerging applications of signal processing such as: • big data • machine learning • internet of things • information security • systems biology and computational biology • financial time series analysis • autonomous vehicles • quantum computing • neuromorphic engineering • human-computer interaction and intelligent user interfaces • environmental signal processing • geophysical signal processing including seismic signal processing • chemioinformatics and bioinformatics • audio, visual and performance arts • disaster management and prevention • renewable energy.",WOS,90,2023,Q2,2023,0.799,2023,3.540,
2076-1465,N/A,WOS,N/A,,,N/A,N/A,N/A,N/A,N/A
