Titre de l’article,Auteurs,Date de publication,Titre de la source,Mots-clés,Nombre de citations,DOI,Résumé,Type de document,issn
"A MATHEMATICAL MODEL OF BREAST CANCER (ER+) WITH EXCESS ESTROGEN: A MIXED TREATMENTS USING KETOGENIC DIET, ENDOCRINE THERAPY AND IMMUNOTHERAPY","Akil, H ; Fatmi, NI",2023,COMMUNICATIONS IN MATHEMATICAL BIOLOGY AND NEUROSCIENCEarrow_drop_down, mathematical modelling ; ODE's ; dynamical systems ; breast cancer ; er-positive ; ketogenic diet ; estrogen ; immunotherapy,0,10.28919/cmbn/7784,"Breast cancer is a major public health problem and the most common diagnosed malignancy in woman. There have been significant developments in clinical approaches, and theoretical experimental to understand the interactions of cancer cells dynamics with the immune system, also developments on analytical and computational models to help provide insights into clinical observations for a better understanding of cancer cells, but more are needed, especially at the genetic and molecular levels mathematically. Treatments such as immunotherapy, chemotherapy, hormone therapy, radiotherapy, and gene therapy are the main strategies in the fight against breast cancer. The present study aims at investigating the effects of estrogen derived from recent models, but this time combined with immunotherapy as a way to treat or inhibit the cancer growth by a mathematical model of breast cancer in situ, governed by a simplified model of nonlinear-coupled ordinary differential equations, that combines important interactions between natural cells, tumor cells, immune cells, ketogenic diet in the presence of an anticancer drug. Another contribution was to introduce the inhibition effect epsilon for new results and conclusions, A qualitative study was performed and biological interpretations were included to understand the conditions of stability in a realistic way.",Article,2052-2541
ANALYSING THE EFFECT OF TRASTUZUMAB TREATMENT ON BREAST CANCER STAGES AND CARDIAC FUNCTION: A MATHEMATICAL MODELING AND NUMERICAL SIMULATION,"El Karchani, M ; Fatmi, NI ; Mouden, K",2023,COMMUNICATIONS IN MATHEMATICAL BIOLOGY AND NEUROSCIENCEarrow_drop_down, breast cancer ; cardiotoxicity ; cancer stage ; trastuzumab ; mathematical model ; numerical simulation,1,10.28919/cmbn/7970,"Breast cancer is the second most common cause of death among women worldwide. Trastuzumab is the first humanised monoclonal antibody against HER2-positive metastatic breast cancer. However, the most serious side effect of trastuzumab is cardiotoxicity, which has become a limiting factor in the drug's safe use. In this study, we investigated the effect of trastuzumab treatment on breast cancer stages and cardiac function. Therefore, we constructed a mathematical model based on breast cancer patients. The model was created using a differential equation system, and equilibrium point and stability analysis were employed to study the associated temporal dynamics. The stability of the equilibrium point was analysed using the Routh-Hurwitz criteria, which identified an asymptotically stable equilibrium point. To valudate these findings, numerical simulations were performed, which demonstrated that the equilibrium point is always stable regardless of the initial conditions. Finally, our results suggest that the five sub-populations of patients will reach a stable state upon reaching the equilibrium point.",Article,2052-2541
QUANTIFYING THE IMPACT OF IMMUNOTHERAPY RESPONSE OF BREAST CANCER STAGES: A COMPUTATIONAL APPROACH FOR MATHEMATICAL MODEL AND NUMERICAL SIMULATION,"El Karchani, M ; Fatmi, NI ; Mouden, K",2023,COMMUNICATIONS IN MATHEMATICAL BIOLOGY AND NEUROSCIENCEarrow_drop_down, DORMANCY breast cancer ; immunotherapy ; system of differential equations ; stages of breast cancer ; dormancy ; numerical simulation ; mathematical modeling,0,10.28919/cmbn/8341,"Breast cancer is a complicated disease that can be treated with a variety of approaches such as Chemotherapy, Immunotherapy, Targeted Therapy, and Hormonal Therapy. A type of cancer treatment known as Immunotherapy can assist the immune system in identifying and attacking cancer cells to combat them. This study investigates a system of differential equations that considers the stages of breast cancer as well as the influence of immunotherapy on patients who are in a dormant condition. We analysed the temporal dynamics of the model by examining the stability and behavior of its equilibrium point. To determine the equilibrium point's stability, we applied the Routh-Hurwitz Criterion, which allowed us to conclude that the equilibrium point is asymptotically stable. Numerical simulations that demonstrated the persistence of the stable equilibrium regardless of the initial conditions, without any further prerequisites, were run to validate our findings. These results suggest that after the five patient sub-populations converge to the equilibrium point, they will eventually reach a state of stability.",Article,2052-2541
A NEW MODEL OF THE SPREAD OF COVID-19 AMONG DIABETES POPULATION: A MATHEMATICAL ANALYSIS AND OPTIMAL CONTROL APPROACH FOR INTERVENTION STRATEGIES,"Imken, I ; Fatmi, NI ; Elamari, S",2023,COMMUNICATIONS IN MATHEMATICAL BIOLOGY AND NEUROSCIENCEarrow_drop_down, diabetes ; Covid-19 ; mathematical model ; local stability ; optimal control,0,10.28919/cmbn/8264,"In this work, we study an original mathematical model which describe the dynamic of transmission of Covid-19 virus in population with diabetes. Firstly, we analysis the mathematical model by using Routh-Hurwitz criteria to obtain the local stability of Covid-Diabetes-free equilibrium and Covid-Diabetes equilibrium. The second aim of this paper is to reduce the number of infected people with complications by control strategies using three variables of controls: the awareness program to diabetic people, also the strict glycemic control with a multidisciplinary medical follow-up in hospital and early diagnosis for diabetic people. We prove the existence of optimal controls, and a characterization of the controls in terms of states and adjoint functions principally based on Pontryagin's maximum principle. A numerical simulations for different scenarios affirm the performance of the optimization approach.",Article,2052-2541
TUBERCULOSIS WITH CONTAMINATION BY THE CONSUMPTION OF UNPASTEURIZED DAIRY PRODUCTS: MATHEMATICAL MODELLING AND NUMERICAL SIMULATIONS,"Zahli, R ; Fatmi, NI",2023,COMMUNICATIONS IN MATHEMATICAL BIOLOGY AND NEUROSCIENCEarrow_drop_down, tuberculosis ; unpasteurised dairy products ; stability analysis ; numerical simulation,0,10.28919/cmbn/7895,"In this article, we present a mathematical model of transmission tuberculosis which takes account the contamination by consuming unpasteurised dairy products. We have determined the equilibrium points, whose local stability is guaranteed by Lyapunov's indirect method using the Routh-Hurwitz stability criterion. The results obtained show that, even if there are no bacteria in the environment, the probability of infection with tuberculosis remains high, and this is due to the consumption of unpasteurised dairy products. Finally, we introduce some numerical simulations graphics to validate our results.",Article,2052-2541
New Approach in Dealing with the Non-Negativity of the Conditional Variance in the Estimation of GARCH Model,"Settar, A ; Fatmi, NI ; Badaoui, M",2021,CENTRAL EUROPEAN JOURNAL OF ECONOMIC MODELLING AND ECONOMETRICSarrow_drop_down, MAXIMUM LIKELIHOOD ESTIMATION ; INEQUALITY CONSTRAINTS GARCH ; Kalman filter ; conditional variance ; volatility ; quasi-maximum likelihood,0,10.24425/cejeme.2021.136458,"In this paper, we propose a robust estimation of the conditional variance of the GARCH(1,1) model with respect to the non-negativity constraint against parameter sign. Conditions of second order stationary as well as the existence of moments are given for the new relaxed GARCH(1,1) model whose conditional variance is estimated deriving firstly the unconstrained estimation of the conditional variance from the GARCH(1,1) state space model, then, the robustification is implemented by the Kalman filter outcomes via density function truncation method. The GARCH(1,1) parameters are subsequently estimated by the quasi-maximum likelihood, using the simultaneous perturbation stochastic approximation, based, first, on the Gaussian distribution and, second, on the Student-t distribution. The proposed approach seems to be efficient in improving the accuracy of the quasi-maximum likelihood estimation of GARCH model parameters, in particular, with a prior boundedness information on volatility.",Article,2080-0886
DYNAMICS OF A CLASS OF VIRAL INFECTION MODELS WITH DIFFUSION,"Bakht, S ; Hattaf, K ; Fatmi, NI",2020,COMMUNICATIONS IN MATHEMATICAL BIOLOGY AND NEUROSCIENCEarrow_drop_down, EQUATIONS ; HBV viral infection ; reaction-diffusion equations ; basic reproduction number ; Lyapunuv functional ; global stability,3,10.28919/cmbn/4368,"The aim of this work is to study the dynamics of a class of viral infection models with diffusion and loss of viral particles due to the absorption into uninfected cells. We prove the global stability of equilibria by constructing suitable Lyapunov functionals for two cases: continuous and discrete. Also, some examples are given to illustrate the theoretical results.",Article,2052-2541
Quarter-Tone Music: A Tuning System Rooted in Natural Harmonic Series,"Ifzarne, A",2024,"MATHEMATICS AND COMPUTATION IN MUSIC, MCM 2024arrow_drop_down", Tuning system ; microtonal music ; harmonic series ; just intonation ; quarter-tone ; 24-TET ; 11th harmonic ; circle of fifths ; non-octave tuning,0,10.1007/978-3-031-60638-0_1,"The objective of this work is to study quarter-tone music through the lens of harmonic series. The 11th harmonic (11/8), which corresponds to the major fourth interval, offers a remarkably precise approximation of the quarter tone. By employing the ""circle of major fourths,"" we may encompass the complete spectrum of 24 notes and establish a tuning system of quarter-tones that is based on overtones. We analyze its distinct attributes and perform a detailed examination of its impact, specifically on maqam music. To solve issues specifically related to modulation, a non-octave tuning is proposed by dividing the major fourth interval into 11 quarter-tones.",Proceedings Paper,0302-9743
On nonlinear parabolic equations with singular lower order term,"El Hadfi, Y ; El Ouardy, M ; Ifzarne, A ; Sbai, A",JUN 2022,JOURNAL OF ELLIPTIC AND PARABOLIC EQUATIONSarrow_drop_down, EXISTENCE ; GRADIENT Singular problem ; Nonlinear parabolic equations ; Lower order term,14,10.1007/s41808-021-00138-5,"In this paper we study existence and regularity results for solution to a nonlinear and singular parabolic problem. The model is
{partial derivative u/partial derivative t - div ((a(x, t) + vertical bar u vertical bar(q))del u) = f/u(r) in Q,
u(x,t) = 0 on Gamma,
u(x, 0) = u(0)(x) in Omega,
where Omega is a bounded open subset of R-N , N >= 2, Q is the cylinder Omega x (0, T), T > 0, G the lateral surface partial derivative Omega x (0, T), q > 0, gamma > 0, and f is non-negative function belonging to some Lebesgue space L-m(Q), m >= 1 and u(0) is an element of L-infinity(Omega) such that
for all omega subset of subset of Omega, there exists D-omega > 0 : u(0) >= D-omega in omega.",Article,2296-9020
EXISTENCE AND REGULARITY RESULTS FOR A SINGULAR PARABOLIC EQUATIONS WITH DEGENERATE COERCIVITY,"El Ouardy, M ; El Hadfi, Y ; Ifzarne, A",JAN 2022,DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES Sarrow_drop_down, ELLIPTIC-EQUATIONS Singular parabolic problems ; degenerate coercivity ; existence ; regularity ; lower order term,15,10.3934/dcdss.2021012,"The aim of this paper is to prove existence and regularity of solutions for the following nonlinear singular parabolic problem
{partial derivative u/partial derivative t - div(a(x,t,u,del u)/(1+vertical bar u vertical bar)theta(p-1)) + g(x,t,u) = f/u gamma in Q, u(x,0) = 0 on Omega, u=0 on Gamma,
Here Omega is a bounded open subset of R-N(N > p >= 2), T > 0 and f is a non-negative function that belong to some Lebesgue space, f is an element of L-m(Q), Q = Omega x (0,T), Gamma - partial derivative Omega x (0,T), g(x,t,u) - vertical bar u vertical bar(s-1) u, s >= 1, 0 <= theta < 1 and 0 < gamma < 1.",Article;,1937-1632
SQUARE ROOTS AND NTH ROOTS IN PSEUDO-MICHAEL ALGEBRAS,"El Kinani, A ; Ifzarne, A",2017,MATEMATICHEarrow_drop_down, BANACH-ALGEBRAS Pseudo Michael algebra ; locally multiplicatively pseudo-convex algebra ; square root ; nth root ; hermitian element,0,,The purpose of this paper is to study the existence of square roots and more generally nth roots in pseudo-Michael algebras. We examine several conditions that imply the existence of nth roots and hermitian nth roots. We also simplify the proofs of the results given by D. Sterbova.,Article,0373-3505
On Ap*-algebras of the first kind,"Ifzarne, A",APR-JUN 2006,BULLETIN OF THE BELGIAN MATHEMATICAL SOCIETY-SIMON STEVINarrow_drop_down, ALGEBRAS A(*)-algebra ; p-Banach algebra ; generalized involution ; C-*-algebra ; hermitian algebra,0,10.36045/bbms/1148059459,We introduce a new class of algebras which extends classical A*-algebras to the p-normed case with generalized involution. We give results concerning the symmetry and the C*-algebra structure in such algebras.,Article,1370-1444
Harmonic calculus in involutive p-Banach algebras and mapping,"El Kinani, A ; Ifzarne, A",OCT-DEC 2001,BULLETIN OF THE BELGIAN MATHEMATICAL SOCIETY-SIMON STEVINarrow_drop_down,,3,10.36045/bbms/1102714796,"We define and study a functionnal harmonic calculus in complex p-Banach algebras, 0 < p < 1, with a linear involution. This calculus consists in given a sens to f(a) whenever a is an element of such algebra and f is a harmonic function in an open simply connected set containing Spa. Using this calculus we give, in p-Banach algebras, a proof of the square root lemma of J. W. M. Ford. We extend K. Fan's theorem and Von Neumann's inequality to harmonic functions. As another application, we construct harmonic functionnal calculus for real p-Banach algebras.",Article,1370-1444
Subword recognition in historical Arabic manuscripts using handcrafted features and deep learning approaches,"Dahbali, M ; Aboutabit, N ; Lamghari, N",SEP 2024,INTERNATIONAL JOURNAL ON DOCUMENT ANALYSIS AND RECOGNITIONarrow_drop_down, CLASSIFICATION Historical documents ; Handwriting recognition ; Arabic dataset ; CNN ; BLSTM,0,10.1007/s10032-024-00501-x,"Recent years have seen significant endeavors to improve handwriting recognition systems and digitize historical manuscripts. Nevertheless, recognizing historical Arabic manuscripts remains a considerable challenge. The purpose of this study is to investigate subword recognition in historical Arabic manuscripts. Two systems are established. The first system involves using a variety of handcrafted feature methods with diverse machine learning algorithms. The second system uses a deep learning architecture that integrates convolutional neural network and bidirectional long short-term memory based on a character model approach with connectionist temporal classification as a decoder. By utilizing the IBN SINA dataset, the histogram of oriented gradients descriptor demonstrated superior performance in the first system, while the second system achieved notable results. The findings of this study provide a framework for the development of historical manuscript recognition systems.",Article;,1433-2833
AHYBRID MODEL FOR ARABIC SCRIPT RECOGNITION BASED ON CNN-CBAMAND BLSTM,"Dahbali, M ; Aboutabit, N ; Lamghari, N",SEP 2024,JORDANIAN JOURNAL OF COMPUTERS AND INFORMATION TECHNOLOGYarrow_drop_down, Handwriting recognition ; Arabic database ; Data augmentation ; CNN ; BLSTM,0,,"Handwriting recognition, particularly for Arabic, is a very challenging field of research due to various complex factors, such as the presence of ligatures, cursive writing style, slant variations, diacritics, overlapping and other difficult problems. This paper specifically addresses the task of recognizing offline Arabic handwritten text lines. The main contributions include the pre-processing stage and the utilization of a deep learning-based approach with data-augmentation techniques. The pre-processing step involves correcting the skew of text-lines and removing any unnecessary white space in images. The deep-learning architecture consists of a Convolutional Neural Network and Convolutional Block Attention Module for feature extraction, along with Bidirectional Long Short-Term Memory for sequence modeling and Connectionist Temporal Classification as a decoder. Data-augmentation techniques are utilized on the images in the database to enhance the system's ability to recognize a wide range of Arabic characters and to extend the level of abstraction in patterns due to synthetic variations. Our suggested approach has the capability of precisely recognizing Arabic handwritten texts without the necessity of character segmentation, thereby resolving various issues associated with this aspect. The results obtained from the KHATT database highlight the effectiveness of our approach, demonstrating a Word Error Rate of 14.55% and a Character Error Rate of 3.25%.",Article,2413-9351
Subword recognition in historical Arabic manuscripts using handcrafted features and deep learning approaches,"Dahbali, M ; Aboutabit, N ; Lamghari, N",SEP 2024,INTERNATIONAL JOURNAL ON DOCUMENT ANALYSIS AND RECOGNITIONarrow_drop_down, CLASSIFICATION Historical documents ; Handwriting recognition ; Arabic dataset ; CNN ; BLSTM,0,10.1007/s10032-024-00501-x,"Recent years have seen significant endeavors to improve handwriting recognition systems and digitize historical manuscripts. Nevertheless, recognizing historical Arabic manuscripts remains a considerable challenge. The purpose of this study is to investigate subword recognition in historical Arabic manuscripts. Two systems are established. The first system involves using a variety of handcrafted feature methods with diverse machine learning algorithms. The second system uses a deep learning architecture that integrates convolutional neural network and bidirectional long short-term memory based on a character model approach with connectionist temporal classification as a decoder. By utilizing the IBN SINA dataset, the histogram of oriented gradients descriptor demonstrated superior performance in the first system, while the second system achieved notable results. The findings of this study provide a framework for the development of historical manuscript recognition systems.",Article;,1433-2833
