Titre de l’article,Mots-clés,Résumé,issn,Titre de journal,sjr_score
Integration of the controlled language ace to the amine platform," attempto controlled english , knowledge representation natural language processing controlled language , ace , drs , cg , drs to co mapping","This paper presents the integration of the controlled language ace (attempto controlled english) to amine platform. since the parser engine of ace (ace parser engine or ape) generates a drs structure (discourse representation structure), we have developed a mapping from drs to co (drs2cg) which produces a co equivalent to the drs produced by ape. through this mapping and this integration of ace into amine. amine users can use controlled language to express their knowledge or specifications, instead of having to express them in co directly.",03029743,Conceptual structures for discovering knowledge,0.606
A multiple ontologies based system for answering natural language questions," semantic web , ontology , question answering system , natural language processing","Due to the massive growth of information on the web, information retrieval systems come to play a more critical role. most of these systems are based on content matching rather than the meaning, therefore the returned results are not always relevant to the user. to solve this problem, the next generation of information retrieval systems focus on the meaning of the user query and search data using ontologies that provide the vocabulary and structure associated with meta-data. in this work we present a question answering system which combines multiple knowledge bases, with a natural language parser to transform questions into sparql queries or other query language. we demonstrate the feasibility to build such a semantic qa system and the accuracy and relevance of the returned results.",21945357,Europe and mena cooperation advances in information and communication technologies,0.215
Optimization of columnar nosql data warehouse model with clarans clustering algorithm," big data , columnar nosql data warehouse , linked open data , clustering algorithms , clarans","In order to perfectly meet the needs of business leaders, decision-makers have resorted to the integration of external sources (such as linked open data) in the decision-making system in order to enrich their existing data warehouses with new concepts contributing to bring added value to their organizations, enhance its productivity and retain its customers. however, the traditional data warehouse environment is not suitable to support external big data. to deal with this new challenge, several researches are oriented towards the direct conversion of classical relational data warehouse to a columnar nosql data warehouse, whereas the existing advanced works based on clustering algorithms are very limited and have several shortcomings. in this context, our paper proposes a new solution that conceives an optimized columnar data warehouse based on clarans clustering algorithm that has proven its effectiveness in generating optimal column families. experimental results improve the validity of our system by performing a detailed comparative study between the existing advanced approaches and our proposed optimized method.",13359150,Computing and informatics,0.258
Query migration from object oriented world to semantic world," oql , sparql , semantic web , object , oql to sparql","In the last decades, object-oriented approach was able to take a large share of databases market aiming to design and implement structured and reusable software through the composition of independent elements in order to have programs with a high performance. on the other hand, the mass of information stored in the web is increasing day after day with a vertiginous speed, exposing the currently web faced with the problem of creating a bridge so as to facilitate access to data between different applications and systems as well as to look for relevant and exact information wished by users. in addition, all existing approach of rewriting object oriented languages to sparql language rely on models transformation process to guarantee this mapping. all the previous raisons has prompted us to write this paper in order to bridge an important gap between these two heterogeneous worlds (object oriented and semantic web world) by proposing the first provably semantics preserving oql-to-sparql translation algorithm for each element of oql query (select clause, from clause, filter constraint, implicit/explicit join and union/ intersection select queries).",19891660,International journal of interactive multimedia and artificial intelligence,0.904
Longitudinal study of tissue- and subunit-specific obesity-induced regulation of the pyruvate dehydrogenase complex," messenger-rna , zucker rats , pretranslational regulation , e1-alpha subunit , adipose-tissue , high-sucrose , insulin , gene , identification , sequence zucker rat , pyruvate dehydrogenase complex (pdhc) , e1 alpha gene , regulation","The tissue-specific expression of the mitochondrial pyruvate dehydrogenase complex (pdhc) has been studied in an animal model of obesity with hyperinsulinemia, the obese (fa/fa) zucker rat. liver and heart were obtained from 4 and 8 week-old obese rats and age-matched lean animals, and in each tissue the following parameters were analyzed: (1) total activity of the mitochondrial pdhc; (2) abundance of the mitochondrial pdhc subunits on western blots; and (3) abundance of the e1 alpha and e1 beta subunit mrnas on northern blots and semi-quantitative rt-pcr. regardless of age, obese rats showed an increase in liver total pdhc activity and a coordinate increase in liver e1 alpha and e1 beta pdhc subunit abundance. at 4 weeks, obese rats also showed an increase in liver pdh e1 alpha mrna level, but regardless of age e1 beta mrna level was unchanged. in contrast, neither total pdhc activity nor the concentration of its protein subunits were increased in heart of obese rats. thus, obese zucker rats display a liver-specific early increase in pdhc which results from a selective up-regulation of the e1 alpha gene expression. (c) 1998 elsevier science ireland ltd. all rights reserved.",03037207,Molecular and cellular endocrinology,1.130
Organic matter geochemistry to analyse the degradation of the monastir-ksibet el mediouni littoral (eastern tunisia)," sediments littoral , shore-flat , waste waters , algal proliferation , organic matter , eastern tunisia","The littoral of monastir-ksibet el mediouni is a shore-flat which became progressively more and more eutrophic and has now reached an advanced stage of degradation. this platform is supplied with sediments by alluvial deposits and beach drift currents. waste waters of the riverine urban centres are also discharged in this area. the geochemical study shows high total organic carbon (toc) contents in the surface sediments being generally in the 2-6 % interval. the c/n ratio (generally inferior to 10), the hydrogen index (hi, generally superior to 300) as well as the gas chromatography (gc) of n-alkanes, show that the organic matter (om) in the study area is of composite (marine and continental) origin, but dominated by marine contribution. this study provides evidence that the strong degradation of this littoral comes mostly from the accumulation of the algal om within an environment characterised by limited water circulation and is the result of natural and human contributions. ((c) academie des sciences / elsevier, paris.).",12518050,Comptes rendus de l academie des sciences serie ii fascicule a-sciences de la terre et des planetes,N/A
Pollution impact study in gabes gulf (tunisia) using remote-sensing data,,"A multidisciplinary project was conducted to study the impact of an important phosphogypsum discharge (50 million tons discharged near gabes city over twenty years). analysis of remote sensing data (landsat mss, spot xs and p, noaa avhrr) combined with field measurements were used to describe actual and historical states and begin understanding alteration mechanisms. the satellite information concerns bottom changes, sea color, sea surface temperature, and swell.
drastic changes have occurred in the gabes gulf to the west of the gneiss-djerba sill. the seagrass beds and caulerpa fields that covered most part of the gulf are now restricted to some areas upwards of 10m depth. under hydrodynamic processes, bare sediments can be re-suspended more easily. light reaching the bottom is reduced, inducing a shift from bottom primary production to a planktonic one. other contributory factors are discussed.",00253324,Marine technology society journal,0.291
An enhanced apriori algorithm using hybrid data layout based on hadoop for big data processing," association rules , parallel data mining , frequent itemset mining , apriori , big data , hadoop","Frequent itemset mining is one of the data mining methodes implemeted to find frequent patterns, utilized in prediction, association rule mining, classification, etc. apriori algorithm is an iterative method, that is used to discover frequent itemsets from transactional dataset. it scans entire dataset in every iteration to come up with the large frequent itemsets of various cardinality, which sounds efficient for small data but not useful for big data. to resolve the problem of treatment dataset in every iteration, we present an algorithm called hybrid frequent itemset mining on hadoop (hfimh) which uses the vertical layout of dataset to solve the problem of treatment the dataset in every iteration. vertical dataset conveys information to discover support of every itemsets, and the idea of set intersection is utilized to compute it. we compare the execution of hfimh with another hadoop based implementation of apriori algorithm for different datasets. experimental results demonstrate that our approach is better.",17387906,International journal of computer science and network security,N/A
A blind poisson-gaussian noise separation using learning copula densities," model copula denoising , mixture gaussian and poisson , learning , admm","This paper develops a novel copula denoising optimization solution for separating poisson noise from images, or removing mixtures of poisson and gaussian noise. the proposed approach is elaborated in two steps: first, a spatial bilateral total variation (btv) regularization is used to reduce gaussian noise; second, a learning copula procedure is employed to separate the poisson noise from the ideal image. this leads to capture different image features while significantly reducing the noise. analytically, we include results on the approximation of the poisson component as well as the resolution of the proposed optimization model. in addition, to resolve the btv minimization problem, we proposed an alternating direction method of multipliers algorithm. finally, numerical results are provided to remove noise while preserving important details and features, along with convincing comparisons to demonstrate the performance of the proposed approach. we show, in particular, that using a large database can improve the robustness of the proposed algorithm.",0278081X,Circuits systems and signal processing,0.509
Multiframe super-resolution based on a high-order spatially weighted regularisation," single-image superresolution , resolution enhancement , tikhonov regularization , reconstruction , sparse , model image resolution , optimisation , iterative methods , multiframe super-resolution , high-order spatially weighted regularisation , sr algorithm , bilateral total variation , second-order term , noise degradations , blur degradations , iterative bregman iteration algorithm , optimisation sr problem , sharp edges , smooth image regions","Here, the authors propose a spatially weighted super-resolution (sr) algorithm, which takes into consideration the distribution of every information that characterise different image areas. the authors investigate to use a combined spatially weighted regularisation of the bilateral total variation and a second-order term increasing then the robustness of the proposed sr approach with respect to blur and noise degradations. in addition, the authors propose an iterative bregman iteration algorithm to resolve the obtained optimisation sr problem. as a result, this regularisation is more efficient and easier to implement; moreover, it preserves well the smooth regions of the image and also sharp edges. using different simulated and real tests, the authors prove the efficiency of the proposed algorithm compared to some sr methods.",17519659,Iet image processing,0.571
State initialization of a hot spin qubit in a double quantum dot by measurement-based quantum feedback control," silicon , photon , electron","A measurement-based quantum feedback protocol is developed for spin-state initialization in a gate-defined double quantum dot spin qubit coupled to a superconducting cavity. the protocol improves qubit state initial-ization as it is able to robustly prepare the spin in shorter time and reach a higher fidelity, which can be preset. being able to preset the fidelity aimed at is a highly desired feature enabling qubit initialization to be more deterministic. the protocol developed herein is also effective at high temperatures, which is critical for the current efforts toward scaling up the number of qubits in quantum computers.",24699950,Physical review b,1.345
Generic reaction-diffusion model with application to image restoration and enhancement," reaction diffusion , image restoration , parabolic system , nonlinear partial differential equation , schauder fixed point","This article provides the existence of a global solution to a generic reaction-diffusion system. the main result is a generalization of the work presented by [2, 5, 11] in the case of a reaction-diffusion equation. we show the existence of a global weak solution to the considered system in the case of quasi-positivity and a triangular structure condition on the nonlinearities [12]. an example of application of our result is demonstrated on a novel bio-inspired image restoration model [1].",10726691,Electronic journal of differential equations,0.415
Fast bidimensional empirical mode decomposition based on an adaptive block partitioning," bemd , fast adaptive lapped block , edge variance information , block-based bemd method , blocking artefact , lapped block-based bemd method","The decomposition of images with great size using the bidimensional empirical mode decomposition (bemd) necessitates an important calculation time. to overcome this problem we first proposed in [1] a new approach using block-based bemd method (bbemd) where an input image is subdivided into four subblocks, and then the bemd is applied on each of the four blocks separately. this method offered a good solution to the calculation time, unfortunately blocking artefact is noticeable in the resulting modes, this is a result of ignoring the interblock correlation during the bemd process and every block was taken as an independent entity when interpolating the blocks borders in the sifting process. the lapped block-based bemd (lbbemd) is then proposed to whelm the artefact problem using for every block the neighbouring information by enlarging the block neighbourhood related to the two adjacent blocks inside the image during the blocks decomposition. enlarging neighbourhood blocks necessitate intensive simulations to have for each block the corresponding enlargement size, thing that affects remarkably on the calculation time. experimentation shows that the lbbemd can not handle correctly the artefact problems, because the enlargement size can not be enough ""or too big"" to surround all the concerned pixels for each block in the image. the problem with the lbbemd is to exactly define, a priori, for each block the size of the neighbouring enlargement size. in this paper, we will present an adaptive and fast block empirical mode decomposition to eliminate definitively the artefacts problems when subdividing an image into lapped blocks and we will prove, by simulations, that our method offers a good trade-off between computational time and decomposition quality.",17387906,International journal of computer science and network security,N/A
Scaling properties of a class of interfacial singular equations," surface growth , crystal-growth , blow-up , instability , similarity , exponents , epitaxy , models interfacial equation , dynamic scaling solution , similarity solution , roughness and coarsening exponents","This paper can be considered as an introductory review of scale invariance theories illustrated by the study of the equation??(??)h= -??(??)[(??(??)h)(1-2??)+??(??????)h],where?? > 1/2.the d-dimensionals version of this equation is proposed for v >= 1 to discuss the coarsening of growing interfaces that induce a mound-type structure without slope selection (golubovic, 1997). firstly, the above equation is investigated in detail by using a dynamic scaling approach, thus allowing for obtaining a wide range of dynamic scaling functions (or pseudosimilarity solutions) which lend themselves to similarity properties. in addition, it is shown that these similarity solutions are spatial periodic solutions for any ?? > 1/2, confirming that the interfacial equation undergoes a perpetual coarsening process. the exponents beta and ??describing, respectively, the growth laws of the interfacial width and the mound lateral size are found to be exactly beta= (1 +??)/4?? and ??= 1/4,for any?? > 12. our analytical contribution examines the scaling analysis in detail and exhibits the geometrical properties of the profile or scaling functions. our finding coincides with the result previously presented by golubovic for 0 < ?? <= 3/2.",09600779,Chaos solitons & fractals,N/A
Instabilities in certain one-dimensional singular interfacial equation," molecular-beam epitaxy , slope selection , crystal-growth , surface , models , diffusion growth equation , surface morphology , wave length , amplitude","We re-examine a generalized singular equation to discuss the coarsening of growing interfaces, in the presence of ehrlich-schwoebel-villain barrier that induces a pyramidal or mound-type structure without slope selection. our aim is to obtain analytically results on the coarsening process by inspecting the behavior of branch of the steady state periodic solutions.",00318949,Physica scripta,0.415
Improved gwo algorithm for the determination of the critical wrinkle length of graphene," graphene , wrinkle , deflection , euler-lagrange , optimisation , grey wolf optimizer , finit elements","Graphene, one of the most important discoveries in the field of materials, is an interesting two-dimensional flexible membrane which has been highly studied by physicians in the last decade as it has shown tremendous utility in fundamental studies, industrial and electronic applications, ranging from nanoelectronics to biology, thanks to its notable electronic, mechanical and chemical properties. graphene in its natural state is non-flat and tends to crumple. the wrinkles are usually considered to be a result of stretching and bending forces, and are viewed as local minimizers of a suitable elastic energy.
in this paper we focus on the study of the wrinkling shape of graphene. a detailed geometric model provided by yamamoto et al. [15] describing the shape of the wrinkles in terms of a deflection profile, is numerically analysed. the euler lagrange equation associated to this problem is formulated in the context of a constrained optimization problem and numerical simulations are carried out to compute the optimal profile using the grey wolf optimizer (gwo), leading to good results in comparison with the ones found in the litterature.",12236934,Annals of the university of craiova-mathematics and computer science series,0.259
On the existence of global weak solutions to a generalized keller segel model with arbitrary growth and nonlinear signal production," chemotaxis system , aggregation , boundedness keller-segel model , nonlinear coupled system , cell motion , chemotaxis","In this work we present the mathematical analysis of a system able to describe the biological chemotaxis phenomena. the proposed model is a modification of the classical keller segel model and its subsequent developments, which, in many cases, have been developed to obtain models that prevent the non-physical blow up of solutions. we are concerned with the global existence in l2(omega) of weak global solutions to a class of parabolic-elliptic chemotaxis systems encompassing the prototype
ut - del.(del u - chi u del v) = f(x), x is an element of omega, t > 0,
-delta v + v = u(gamma), x is an element of omega, t > 0,
with nonnegative initial condition for u and no flux boundary conditions in a bounded domain omega subset of rn (n >= 2), where chi > 0, 0 < gamma < 1 and f is an element of c-1(r) satisfying, f(0) = 0 and
f(s) <= 0, s >= 0.
it is shown under those conditions that the problem admits weak solutions in l-2(omega). in order to develop the mathematical analysis of our model, we define an approximating scheme with more regular initial conditions, then we make some estimations that will allow us to prove that the solution of the approximated system converge to the solution of our problem.",12236934,Annals of the university of craiova-mathematics and computer science series,0.259
Analytical solutions and classification of vesicle motion and deformation in shear flow: uncovering new tank-treading modes," fractional calculus , dynamics","Using a small deformation approach, a fractional ordinary differential system is proposed to investigate the motion and deformation of a vesicle in shear flow. closed analytical expressions of the orientation angle and the ellipticity of the vesicle contour (shape deformation) are provided. three different motions are identified, the classical tank-treading state, and two new types of motions, namely, the over-damped tank-treading mode, in which the vesicle's orientation angle psi and its shape deformation r tend more slowly toward equilibrium, and the under-damped tank-treading mode, in which psi oscillates all the time along the flow direction with decreasing amplitude, while r starts making a breathing motion and then tends to an attractive amplitude. the implications of our findings extend widely within the field of fluid dynamics, revealing the potential for further advancements and applications in understanding complex fluid systems.",10541500,Chaos,0.778
Exploring the interplay between memory effects and vesicle dynamics: a five-dimensional analysis using rigid sphere models and mapping techniques," suspension caputo derivative , fractional differential equations , memory effect , red blood cells , the fractional adams method , vesicles dynamics","The memory effect in vesicle dynamics refers to the persistence of shape changes in lipid vesicles, a type of lipid bilayer membrane that mimics some features of real cells, particularly red blood cells (rbcs). to study this effect, a fractional rigid sphere model in five dimensions has been investigated, which maps the dynamics of a vesicle using the caputo operator. this model provides new insights into the mechanisms behind the memory effect as well as the emergence of two other motions, namely, tank-treading with underdamped and tank-treading with overdamped vesicle oscillations, in addition to the tank-treading mode where the vesicle rotates about its axis while maintaining a constant shape. overall, this work represents a significant advance in our understanding of vesicle dynamics and has important implications for understanding the behavior of rbcs.",00222526,Studies in applied mathematics,N/A
Effect of family and public health education in drug transmission: an epidemiological model with memory," differential-equations , mathematical-model , heroin epidemic , within-host , dynamics , campaigns , hiv/aids , behavior , spread caputo derivative , fractional differential equations , drug transmission model , memory effects , sensitivity , the modified trapezoidal rule and the fractional euler's method","A problem of theoretical and numerical interest in standard epidemiological models is the calculation or estimation of the basic reproduction number r0\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$${\mathcal {r}}_0$$\end{document}. this parameter serves as a threshold quantity for the extinction or spread of the disease. in this paper, we explore a model of drug transmission based on compartmental dynamic models, as in epidemiological models of infectious diseases. the objective is to study r0\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$${\mathcal {r}}_0$$\end{document} as a function of family and public health education. in order to make the general analysis and obtain a wide range of results, we use a fractional time-caputo derivative instead of the classical time derivative. the analytic and numerical results (existence and uniqueness of solutions, equilibrium stability analysis, parameter sensitivity, trapezoidal rule, and fractional euler method) showed that the combination of family education and public health has an impact on drug transmission reduction. this can be used to control or adopt treatment strategies.",23636203,Modeling earth systems and environment,0.677
Exact trajectory solutions of a spherical microswimmer under flow and external fields," dilute suspension , particles , rheology , motion","The main objective of the present study is the derivation of exact analytical expressions for the orientation and trajectory of a spherical microswimmer submitted to general linear flows and to an external (gravitational or magnetic) force field, a problem known as gyrotaxis or magnetotaxis. we consider linear shear, hyperbolic, solid-rotation, and stagnation flows. the evolution equations of the swimmer orientation and its position are nonlinear and analytical results are the exception rather than the rule. most available results for cell orientation and trajectories are obtained numerically. the solution for the swimmer orientation is inspired from a method due to bretherton, initially developed for a different nonlinear equation. we show here that this method can be generalized to our evolution equation. we see that the swimmer under flow exhibits both run (a motion where the orientation angle is kept constant with time) and tumble (the orientation angle is cyclic with time) regimes, and a variety of cell trajectories are extracted analytically, such as parabolic, elliptic, and helical. this study offers a framework to generalize the results to other types of flows.",2469990X,Physical review fluids,1.066
Characterizing environmental geographic inequalities using an integrated exposure assessment," population exposure , ambient air , health , exposome , models inequities , spatial , exposure , modeling , integrated","Background at a regional or continental scale, the characterization of environmental health inequities (ehi) expresses the idea that populations are not equal in the face of pollution. it implies an analysis be conducted in order to identify and manage the areas at risk of overexposure where an increasing risk to human health is suspected. the development of methods is a prerequisite for implementing public health activities aimed at protecting populations. methods this paper presents the methodological framework developed by ineris (french national institute for industrial environment and risks) to identify a common framework for a structured and operationalized assessment of human exposure. an integrated exposure assessment approach has been developed to integrate the multiplicity of exposure pathways from various sources, through a series of models enabling the final exposure of a population to be defined. results measured data from environmental networks reflecting the actual contamination of the environment are used to gauge the population's exposure. sophisticated methods of spatial analysis are applied to include additional information and take benefit of spatial and inter-variable correlation to improve data representativeness and characterize the associated uncertainty. integrated approaches bring together all the information available for assessing the source-to-human-dose continuum using a geographic information system, multimedia exposure and toxicokinetic model. discussion one of the objectives of the integrated approach was to demonstrate the feasibility of building complex realistic exposure scenarios satisfying the needs of stakeholders and the accuracy of the modelling predictions at a fine spatial-temporal resolution. a case study is presented to provide a specific application of the proposed framework and how the results could be used to identify an overexposed population. conclusion this framework could be used for many purposes, such as mapping ehi, identifying vulnerable populations and providing determinants of exposure to manage and plan remedial actions and to assess the spatial relationships between health and the environment to identify factors that influence the variability of disease patterns.",1476069X,Environmental health,1.228
Spatio-temporal assessment of pregnant women exposure to chlorpyrifos at a regional scale," exposome , environment , pesticides","Background the aim of this study was to use an integrated exposure assessment approach, combining spatiotemporal modeling of environmental exposure and fate of the chemical to assess the exposure of vulnerable populations. in this study, chlorpyrifos exposure of pregnant women in picardy was evaluated at a regional scale during 1 year. this approach provided a mapping of exposure indicators of pregnant women to chlorpyrifos over fine spatial and temporal resolutions using a gis environment.
methods fate and transport models (emission, atmospheric dispersion, multimedia exposure, pbpk) were combined with environmental databases in a gis environment. quantities spread over agricultural fields were simulated and integrated into a modeling chain coupling models. the fate and transport of chlorpyrifos was characterized by an atmospheric dispersion statistical metamodel and the dynamicrop model. then, the multimedia model modul'ers was used to predict chlorpyrifos daily exposure doses which were integrated in a pbpk model to compute biomarker of exposure (tcpy urinary concentrations). for the concentration predictions, two scenarios (lower bound and upper bound) were built.
results at fine spatio-temporal resolutions, the cartography of biomarkers in the lower bound scenario clearly highlights agricultural areas. in these maps, some specific areas and hotspots appear as potentially more exposed specifically during application period. overall, predictions were close to biomonitoring data and ingestion route was the main contributor to chlorpyrifos exposure.
conclusions this study demonstrated the feasibility of an integrated approach for the evaluation of chlorpyrifos exposure which allows the comparison between modeled predictions and biomonitoring data.",15590631,Journal of exposure science and environmental epidemiology,1.026
Dynamical properties of a nonlinear kuramoto-sivashinsky growth equation," thin-film growth , evolution , surface , diffusion growth model , molecular beam epitaxy , meandering , coarsening","The conserved kuramoto-sivashinsky equation can be considered as the one- and twodimensional evolution equation for amorphous thin film growth. the role of the nonlinear term dojruj2thorn and the properties of the solutions are investigated analytically and numerically. analytical results of wavelength and amplitude are provided. numerical simulations of this equation are presented, showing the roughening and coarsening of the surface pattern and the evolution of the surface morphology over time for different parameter values in one- and two-dimensions. (c)2021 the authors. published by elsevier bv on behalf of faculty of engineering, alexandria university. this is an open access article under the cc by-nc-nd license (http://creativecommons.org/ licenses/by-nc-nd/4.0/).",11100168,Alexandria engineering journal,0.989
