ID de l'Auteur,Nom Complet,Pays d'Affiliation,Citations Totales,H-index,FWCI,Co-auteurs
gvWv0oMAAAAJ,Ali Moussaoui,Université de Tlemcen,579,15,N/A,Pierre Auger; Aziz-Alaoui MA; Christophe Lett; Mohammed Amine MENOUER; Sylvain Pioch; Vitaly Volpert (Виталий Айзикович Вольперт); Abdessamad Tridane; Mostefaoui Imene Meriem; Mohammed Salah Abdelouahab; Safaa BOURAFA; Nguyen Ngoc Doanh; Yafia Radouane; Alassane Bah; Anes MOULAI-KHATIR; Marcos Marvá; Sallet; Dr. Reenu Rani; Sunita Gakkhar; Bob Kooi; ROCHE Benjamin; Bilel Elbetch; Oumar DIOP; Abdou SENE; Arnaud Ducrot; Iggidr; Brahim Cherki; Sara Jabbari; Alain Rapaport; MOHAMED OUMOUN; Claude LOBRY; 稲葉寿
hUCz7nUAAAAJ,Argha Mondal,University of Essex,1493,15,N/A,Ranjit Kumar Upadhyay; Dr Chris G. Antonopoulos PhD MIMA F...; Sanjeev Kumar Sharma; Arnab Mondal; Wondimu Teka; Aziz-Alaoui M.A.; Chittaranjan Hens; Jun Ma; Arindam Mishra; Eva Kaslik; Syamal K. Dana; Peng Ji; Prosenjit Kundu; Mauro Mobilia; Sahil Islam; Benjamin Ambrosio; Dr. Kshitish Ch. Mistri
MxwU4n0AAAAJ,Ranjit Kumar Upadhyay,ISM,4357,35,N/A,"Argha Mondal; Parimita Roy; Nilesh Kumar Thakur; Rana Parshad; Sangeeta Kumari; Sanjeev Kumar Sharma; Nitu Kumari; Balram Dubey, Ph.D.; Dr. Debaldev Jana; Arnab Mondal; Sharada Nandan Raw; SWATI MISHRA; Parthasakha Das; Raid Kamel Naji; EMMANUEL K QUANSAH; Wondimu Teka; Dr. Jyotiska Datta; JAI PRAKASH TRIPATHI; Aziz-Alaoui MA; Dr. Sarita Kumari; AK Misra; Sree Hari Rao Vadrevu; Weiming Wang; Pritha Das; Dibakar Ghosh; Jun Ma; Dr. Renu Verma; SP Tiwari; Joydev Chattopadhyay; Dr. Archana Ojha; Suman Bhowmick; Pankaj Kumar Tiwari; Nandadulal Bairagi; Ashok Kumar Pal; Prerna Singh; Hamid Ait Abderrahmane; Sourin Chatterjee; SATTWIKA ACHARYA; Chittaranjan Hens; Jamal Hussain; Yueping Dong; Madhur Anand; Vitaly Volpert (Виталий Айзикович Вольперт); Guruprasad Samanta; Vikas Rai"
JxDZjkYAAAAJ,BOWONG Samuel,,3435,32,N/A,
sdayej0AAAAJ,Celso Grebogi,University of Aberdeen,47768,97,N/A,
mCjNN7kAAAAJ,Jinhu Lu,Page d'accueil,33988,83,N/A,Guanrong Chen; Xinghuo Yu; Xiaoqun Wu; Wenwu Yu; David John HILL; Hui Liu; Zongli Lin; Weihua Deng (邓伟华); Jin Zhou; Haibo Du; Maciej Ogorzalek; Jinde Cao; Fengling Han; Chi K. TSE (misprinted as K.T. Chi)
MYi01DEAAAAJ,Abdessamad Tridane,United Arab Emirates University,1298,16,N/A,"Mustapha Lhous; Yang Kuang; Salih DJILALI; Yafia Radouane; Soufiane BENTOUT; Touaoula Mohammed Tarik; Aziz-Alaoui MA; Sehjeong Kim; Fathalla A. Rihan (PhD & DSc); Adel Settati; Horst R Thieme; Karam Allali; Mouhcine Tilioua; ABDELHAI EL AZZOUZI; Ali Moussaoui; Mohamed Ali Hajji; Samira EL YACOUBI; Professor Mohamud Sheek-Hussein; Dong Eui Chang; Muhammad Zamir(Burqi) Khattak; Roxana López Cruz; Tufail Malik; Mudassar Imran; Eduardo Mojica-Nava; Bassam R Ali; Hüseyin Merdan; Dr. Amina Eladdadi, Prof. of Mathematics & Visiting Scientist at the US National Science Foundation; Gamzegül Karahisarlı; Matthew Peters; Anuj Mubayi"
WVlXnVEAAAAJ,Yichao Zhang,Tongji University,443,12,N/A,
N2xsxV8AAAAJ,Jihong Guan,Tongji University,7905,47,N/A,
DNZKaMkAAAAJ,maciej krupa,Page d'accueil,5346,34,N/A,
Ub8wtmAAAAAJ,Tewa JEAN-JULES,Page d'accueil,1527,21,N/A,Pierre Couteron; Ivric Valaire Yatat Djeumen; Yves Dumont; Sallet; Iggidr; Israël Tankam Chedjou; Frédéric Grognard; Jürgen Kurths; SC Oukouomi Noutchie; Ramsès DJIDJOU DEMASSE; Ludovic Mailleret; Aziz-Alaoui M.A.; Yafia Radouane; Hüseyin Merdan
XCHoJb5HHjwC,Saber Elaydi,Trinity University,10082,40,N/A,"Rafael Luís; George Livadiotis; Eddy Kwessi; FOZI DANNAN; Brian Dennis; Henrique Oliveira; Abdul-Aziz Yakubu; Pingzhou Liu; Ziyad ALSharawi; Unal Ufuktepe; Sinan Kapçak; Toka Diagana; Sophia Jang; Maher A. Dayeh; David Ribble; Istvan Gyori; Vlajko Kocic; Vadim Ponomarenko; Klara Janglajew; Aziz-Alaoui MA; Christophe Letellier; Luis A. Aguirre; Malgorzata Guzowska; Dr. Mohamed CH-CHAOUI; Dr. Amina Eladdadi, Prof. of Mathematics & Visiting Scientist at the US National Science Foundation; James L Roberts; Azmy S. Ackleh; Klaus Ziegler; Kwan H. Cheng"
nKPcjzcAAAAJ,Guanrong Chen,City University of Hong Kong,135849,172,N/A,
XpW0w_YAAAAJ,Sunita Gakkhar,,2001,28,N/A,
eHkyX7AAAAAJ,Michael Small,University of Western Australia,13399,60,N/A,
LuZFcDYAAAAJ,Fathalla A. Rihan (PhD & DSc),United Arab Emirates University,5178,41,N/A,"Rakkiyappan Rajan; Lakshmanan Shanmugam; Hebatallah J. Alsakaji; G. Bocharov; C. Rajivganthi; Christopher TH Baker; Adel Hashish; Velmurugan Gandhi; Muthukumar Palanisamy; Qasem Al-Mdallal; Mohamed-Naim Anwar; Yafia Radouane; Ju H. Park (Jessie Park), 박주현; Muntaser Safan; Professor Mohamud Sheek-Hussein; Dumitru Baleanu; Eugene Parmuzin; Dr. R. Raja; Abdessamad Tridane; MUHAMMAD BILAL RIAZ; P. Balasubramaniam; Stefan Turek; Ian Roulstone; Dr. Mathiyalagan Kalidass; Prakash Mani; Dr. Pradeep Chandrasekar; Prof. Aly R. Seadawy; Nouran Rihan; Eid H. Doha; Boomipalagan Kaviarasan; Cemil Tunç; Prof. Samir H. Saker; Nasser Al-Salti; Nasser Sweilam; M. Syed Ali; Dr. A. Vinodkumar; Aziz-Alaoui MA; Zhi Li; Ali Filiz; Jaehyun Park; Jana Diesner; Hongjiong Tian; Neville Ford; Prof. Fatma AlMaskari; David Wille; Ahmed F. Rihan"
e10E1KQAAAAJ,Hüseyin Merdan,TOBB Ekonomi ve Teknoloji Üniversitesi,576,15,N/A,"Oktay Duman, Prof. Dr.; Yafia Radouane; Aziz-Alaoui M.A.; Tewa JEAN-JULES; William C. Troy; Abdessamad Tridane"
mTW51K4AAAAJ,Dany Moualeu-Ngangué,Leibniz Universität Hannover,547,15,N/A,Hartmut Stützel; BOWONG Samuel; Rainald Ehrig; Deuflhard Peter; Tewa JEAN-JULES; Martin Weiser; Yi-Chen Pao; Susanna Röblitz; Ralf Uptmoor; Jürgen Kurths; Michael Schneider; Osei-Kwarteng Mildred; Berge Tsanou; Aziz-Alaoui M.A.; Gerhard Buck-Sorlin
EKgdzjcAAAAJ,Samira EL YACOUBI,Université de Perpignan,938,14,N/A,Franco Bagnoli; Sebastien Gourbiere; Przemysław Jacewicz; juli g. pausas (ORCID:0000-0003-353...; Abdessamad Tridane; Jarosław Wąs; Corentin M. Barbu; Yafia Radouane; Aziz-Alaoui M.A.; Moshe Sipper; Jiri Kroc
0SZOPVwAAAAJ,Genaro Juarez Martinez,National Polytechnic Institute,1490,22,N/A,Andrew Adamatzky; Juan Carlos Seck Tuoh Mora; Ramon Alonso-Sanz; Kenichi Morita; Hector Zenil; Christopher Stephens; Jeff Jones; Mikhail Prokopenko
J7mdTCoAAAAJ,Arti Awasthi,University of Petroleum and Energy Studies,158,7,N/A,Sunita Gakkhar; Benjamin Ambrosio; Aziz-Alaoui M.A.; Dang Hai Nguyen; Tran Dinh Tuong; Abhinav Tandon
vhnTmYgAAAAJ,Alaeddine BOUKHALFA,,79,3,N/A,
1oJMacIAAAAJ,Youssef EL HADFI,Sultan Moulay Slimane University,225,10,N/A,Ahmed Youssfi; Mostafa El Moumni; Abdelmoujib BENKIRANE
y83VsLUAAAAJ,Ahmed Youssfi,"Sidi Mohamed Ben Abdellah University, Fès",356,10,N/A,
gIDzPkQAAAAJ,Fatima Zohra Ennaji,,35,3,N/A,
mrQFmUkAAAAJ,noreddine gherabi,,595,14,N/A,AM MARTINEZ-ENRIQUEZ
38cPZE0AAAAJ,AM MARTINEZ-ENRIQUEZ,CINVESTAV,1033,17,N/A,
ELsGjSoAAAAJ,imad hafidi,,265,8,N/A,
0nnWPBMAAAAJ,Aziz IFZARNE,Université Sultan Moulay Slimane,57,5,N/A,
6Vmi9eIAAAAJ,Hamza Khalfi,,49,3,N/A,Nour Eddine Alaa
ruiiIJEAAAAJ,Nour Eddine Alaa,Page d'accueil,985,15,N/A,
i7yyDFAAAAAJ,Nidal Lamghari,Sultan Moulay Slimane university,129,5,N/A,
vDTfO3IAAAAJ,Mohammed Nasri,,62,4,N/A,Lahsen Abouenour
niUB2mYAAAAJ,SOUSSI Nassima,,5,1,N/A,
TzN61e4AAAAJ,Noureddine ABOUTABIT,,618,10,N/A,
