Titre de l'article,Titre de source,Résumé,ISSN,SJR
A blind poisson–gaussian noise separation using learning copula densities,"Circuits, systems, and signal processing","This paper develops a novel copula denoising optimization solution for separating Poisson noise from images, or removing mixtures of Poisson and Gaussian noise. The proposed approach is elaborated in two steps: first, a spatial bilateral total variation (BTV) regularization is used to reduce Gaussian noise; second, a learning copula procedure is employed to separate the Poisson noise from the ideal image. This leads to capture different image features while significantly reducing the noise. Analytically, we include results on the approximation of the Poisson component as well as the resolution of the proposed optimization model. In addition, to resolve the BTV minimization problem, we proposed an alternating direction method of multipliers algorithm. Finally, numerical results are provided to remove noise while preserving important details and features, along with convincing comparisons to demonstrate the …","0278081X, 15315878",2.204
Recent Developments of Optimization and Computational Mathematics,"Statistics, Optimization & Information Computing","The evolution of mathematics gave rise to several new fields, among them we can find Data Science and someapplications to mathematics and computer science. Recently, Data science is considered as a dynamic and attractive research area with numerous usability in other scientific fields, such as: Machine Learning, Data Mining and computer science, especially in Image Processing. For that and to closely follow the evolution of Data Science using recent mathematical tools, we propose this special issue which contains a number of papers on various mathematical tools, optimization and their applications. This special issue contains carefully selected articles from the first edition of the conference``International Conference on New Trends of Applied Mathematics (ICNTAM)”, which is held at B\'{e} ni Mellal, Morocco from 19 to 21 May 2022.","23105070, 2311004X",1.383
Poisson noise and Gaussian noise separation through copula theory,Multimedia Tools and Applications,"This study explores an innovative optimization problem in copula denoising, aiming to distinguish and eliminate both Poisson noise and Gaussian noise. Our solution encompasses two fundamental steps. First, it employs a modified guided Total Variation (BTV) regularization method to effectively suppress Gaussian noise. Then, it implements a Hellinger distance copula separation procedure to separate the Poisson noise from the pristine image. This dual-step approach ensures that crucial image features are preserved while significantly reducing noise levels. The paper includes analytical findings related to approximating the Poisson noise component and successfully resolving the proposed optimization model within a well-defined framework. To tackle the challenge of BTV minimization, an efficient projected Alternating Direction Method of Multipliers (ADMM) algorithm is introduced. The approach’s performance …","13807501, 15737721",4.532
Blind source separation using hellinger divergence and copulas,RAIRO-Operations Research,"Whenever there is a mixture of signals of any type, e.g. sounds, images or any other form of source signals, Blind Source Separation (BSS) is the method utilized to separate these signals from the observations. The separation is done without any prior knowledge about the mixing process nor the source signals. In literature multiple algorithms have been deployed for this particular problem, however most of them depends on Independent Component Analysis (ICA) and its variations assuming the statistical independence of the sources. In this paper, we develop a new algorithm improving the separation quality for both independent and dependent sources. Our algorithm used copulas to accurately model the dependency structure and the Hellinger divergence as a distance measure since it can convergence faster and it is robust against noisy source signals. Many simulations were conducted for various samples of …","03990559, 12903868",2.191
"Preface to the special issue'Partial Differential Equations, Optimization and their Applications'",Discrete and Continuous Dynamical Systems-S,"Partial differential equations (or briefly a PDE) are a very powerful mathematical tool to describe many phenomenon with local and non local behavior in different areas of research. Physical such as sound, heat, diffusion, electrostatics, electrodynamics, fluid dynamics, elasticity, electrostatics, electrodynamics, gravity, quantum mechanics, etc.","10780947, 15535231",1.244
Robust approach for blind separation of noisy mixtures of independent and dependent sources,Mathematical modeling and computing,"In this paper, a new Blind Source Separation (BSS) method that handles mixtures of noisy independent/dependent sources is introduced. We achieve that by minimizing a criterion that fuses a separating part, based on Kullback–Leibler divergence for either dependent or independent sources, with a regularization part that employs the bilateral total variation (BTV) for the purpose of denoising the observations. The proposed algorithm utilizes a primal-dual algorithm to remove the noise, while a gradient descent method is implemented to retrieve the signal sources. Our algorithm has shown its effectiveness and efficiency and also surpassed the standard existing BSS algorithms.","23129794, 24153788",1.099
Blind Source Separation for Text Mining,Journal of Physics: Conference Series,"Blind Source Separation (BSS) was originally developed for signal processing applications. It has been proven out that Independent Component Analysis (ICA) which is the technique used for separating independent sources, is a powerful tool for analyzing text document data as well, if the text documents are presented in a suitable numerical form. This opens up new possibilities for automatic analysis of large textual data bases: detecting the topics present in the corpus and grouping the documents accordingly or in other words Clustering documents, hence achieving two tasks of Text Mining at the same time using only one algorithm. In our study we use an appropriate BSS approach along with new weighting distance to transform the textual data to achieve higher level of accuracy.","17426588, 17426596",0.563
Blind source separation using measure on copulas,Annals of the University of Craiova-Mathematics and Computer Science Series,The paper introduces a novel BSS algorithm for instantaneous mixtures of both independent and dependent sources. This approach is based on the minimization of Kullback-Leibler divergence between copula densities. This latter takes advantage of copulas to model the dependency structure of the source components. The new algorithm can efficiently achieve good separation standard BSS methods fail. Simulation results are presented showing the convergence and the efficiency of the proposed algorithms.,"12236934, 22469958",0.438
Turing instability and Hopf bifurcation in a modified Leslie–Gower predator–prey model with cross-diffusion,International Journal of Bifurcation and Chaos,"This paper is concerned with some mathematical analysis and numerical aspects of a reaction–diffusion system with cross-diffusion. This system models a modified version of Leslie–Gower functional response as well as that of the Holling-type II. Our aim is to investigate theoretically and numerically the asymptotic behavior of the interior equilibrium of the model. The conditions of boundedness, existence of a positively invariant set are proved. Criteria for local stability/instability and global stability are obtained. By using the bifurcation theory, the conditions of Hopf and Turing bifurcation critical lines in a spatial domain are proved. Finally, we carry out some numerical simulations in order to support our theoretical results and to interpret how biological processes affect spatiotemporal pattern formation which show that it is useful to use the predator–prey model to detect the spatial dynamics in the real life.","02181274, 17936551",2.088
Dynamics Analysis and Optimality in Selective Harvesting Predator-Prey Model With Modified Leslie-Gower and Holling-Type II,Nonautonomous Dynamical Systems,"In this work, we consider the optimal harvesting and stability problems of a prey-predator model with modified Leslie-Gower and Holling-type II functional response. The model is governed by a system of three differential equations which describe the interactions between prey, predator and harvesting effort. Boundedness and existence of solutions for this system are showed. The existence and local stability of the possible steady states are analyzed and the conditions of global stability of the interior equilibrium are established by using the Lyapunov function, we prove also the occurrence of Hopf bifurcation at this point. By using the Pontryagin’s maximal principle, we formulate and we solve the problem of the optimal harvest policy. In the end, some numerical simulations are given to support our theoretical results.",23530626,1.209
Oscillations Induced by Quiescent Adult Female in a Reaction–Diffusion Model of Wild Aedes Aegypti Mosquitoes,International Journal of Bifurcation and Chaos,"This paper takes the reaction–diffusion approach to deal with the quiescent females phase, so as to describe the dynamics of invasion of aedes aegypti mosquitoes, which are divided into three subpopulations: eggs, pupae and female. We mainly investigate whether the time of quiescence (delay) in the females phase can induce Hopf bifurcation. By means of analyzing the eigenvalue spectrum, we show that the persistent positive equilibrium is asymptotically stable in the absence of time delay, but loses its stability via Hopf bifurcation when time delay crosses some critical value. Using normal form and center manifold theory, we investigate the stability of the bifurcating branches of periodic solutions and the direction of the Hopf bifurcation. Numerical simulations are carried out to support our theoretical results.","02181274, 17936551",2.088
Oscillations induced by quiescent adult female in a model of wild aedes aegypti mosquitoes,Discr. Cont. Dyn. Syst. Ser S,"Aedes aegypti (Ae. aegypti: mosquito) is a known vector of several viruses including yellow fever, dengue, chikungunya and zika. In the current paper, we present a delayed mathematical model describing the dynamics of Ae. aegypti. Our model is governed by a system of three delay differential equations modeling the interactions between three compartments of the Ae. aegypti life cycle (females, eggs and pupae). By using time delay as a parameter of bifurcation, we prove stability/switch stability of the possible equilibrium points and the existence of bifurcating branch of small amplitude periodic solutions when time delay crosses some critical value. We establish an algorithm determining the direction of bifurcation and stability of bifurcating periodic solutions. In the end, some numerical simulations are carried out to support theoretical results..
1. Introduction and mathematical model. Yellow fever, dengue, chikungunya and zika are dangerous diseases which still lack a cure, and they are spreading through a specific type of vector, the Ae. aegypti mosquito (called also yellow fever mosquito or stegomyia aegypti). The dynamics of Ae. aegypti are particularly impacted by climatic conditions like high temperature and frequent precipitation and the most affected areas are the ones with tropical climates which are favorable to its growth. However, if current studies and predictions about global climate change are now occurring, many new areas might start facing these diseases threat (see [15, 16, 35, 24, 3]). Ae. aegypti life cycle begins with eggs, which hatch into","15313492, 1553524X",1.467
A survey on constructing Lyapunov functions for reaction-diffusion systems with delay and their application in biology,Mathematical modeling and computing,"Motivated by some biological and ecological problems given by reaction-diffusion systems with delays and boundary conditions of Neumann type and knowing their associated Lyapunov functions for delay ordinary differential equations, we consider a method for determining their Lyapunov functions to establish the local/global stability. The method is essentially based on adding integral terms to the corresponding Lyapunov function for ordinary differential equations. The new approach is not general but it is applicable in a wide variety of delays reaction-diffusion models with one discrete delay or more, distributed delay, and a combination of both of them. To illustrate our results, we present the method application to a reaction-diffusion epidemiological model with time delay (latency period) and indirect transmission effect.","23129794, 24153788",1.099
Boundedness and global stability for a predator-prey model with modified Leslie-Gower and Holling-type II schemes,Applied Mathematics Letters,"We present a two-dimensional continuous time dynamical system modeling a predator-prey food chain, and based on a modified version of the Leslie-Gower scheme and on the Holling-type II scheme. The main result is given in terms of boundedness of solutions, existence of an attracting set and global stability of the coexisting interior equilibrium.","08939659, 18735452",3.414
Analysis of a predator–prey model with modified Leslie–Gower and Holling-type II schemes with time delay,Nonlinear Analysis: Real World Applications,"Two-dimensional delayed continuous time dynamical system modeling a predator–prey food chain, and based on a modified version of Holling type-II scheme is investigated. By constructing a Liapunov function, we obtain a sufficient condition for global stability of the positive equilibrium. We also present some related qualitative results for this system.",14681218,2.179
A multi-step differential transform method and application to non-chaotic or chaotic systems,Computers & mathematics with applications,"The differential transform method (DTM) is an analytical and numerical method for solving a wide variety of differential equations and usually gets the solution in a series form. In this paper, we propose a reliable new algorithm of DTM, namely multi-step DTM, which will increase the interval of convergence for the series solution. The multi-step DTM is treated as an algorithm in a sequence of intervals for finding accurate approximate solutions for systems of differential equations. This new algorithm is applied to Lotka–Volterra, Chen and Lorenz systems. Then, a comparative study between the new algorithm, multi-step DTM, classical DTM and the classical Runge–Kutta method is presented. The results demonstrate reliability and efficiency of the algorithm developed.",08981221,3.084
Study of a Leslie–Gower-type tritrophic population model,"Chaos, Solitons & Fractals","A three-dimensional continuous time dynamical system is considered. It is a model for a tritrophic food chain, based on a modified version of the Leslie–Gower scheme. We establish and prove theorems on boundedness of the system, existence of an attracting set, existence and local or global stability of equilibria which represent the extinction of the top or intermediate predator. Using intensive numerical qualitative analysis we show that the model could exhibit chaotic dynamics for realistic parameter and state values. Transition to chaotic behavior is established via period doubling bifurcation, and some sequences of distinctive period-halving are found.",09600779,5.969
"The chikungunya disease: modeling, vector and transmission global dynamics",Mathematical biosciences,"Models for the transmission of the chikungunya virus to human population are discussed. The chikungunya virus is an alpha arbovirus, first identified in 1953. It is transmitted by Aedes mosquitoes and is responsible for a little documented uncommon acute tropical disease. Models describing the mosquito population dynamics and the virus transmission to the human population are discussed. Global analysis of equilibria are given, which use on the one hand Lyapunov functions and on the other hand results of the theory of competitive systems and stability of periodic orbits.","00255564, 18793134",2.197
Synchronization of chaotic fractional-order systems via linear control,International Journal of Bifurcation and Chaos,"The chaotic dynamics of fractional-order systems has attracted much attention recently. Chaotic synchronization of fractional-order systems is further studied in this paper. We investigate the chaos synchronization of two identical systems via a suitable linear controller applied to the response system. Based on the stability results of linear fractional-order systems, sufficient conditions for chaos synchronization of these systems are given. Control laws are derived analytically to achieve synchronization of the chaotic fractional-order Chen, Rössler and modified Chua systems. Numerical simulations are provided to verify the theoretical analysis.","02181274, 17936551",2.088
Analysis of the dynamics of a realistic ecological model,"Chaos, Solitons & Fractals",A fairly realistic three-species food chain model based on the Leslie–Gower scheme is investigated by using tools borrowed from the nonlinear dynamical systems theory. It is observed that two co-existing attractors may be generated by this ecological model. A type-I intermittency is characterized and a homoclinic orbit is found.,09600779,5.969
"Optimal control of chikungunya disease: larvae reduction, treatment and prevention",Mathematical Biosciences & Engineering,"Since the 1980s, there has been a worldwide re-emergence of vectorborne diseases including Malaria, Dengue, Yellow fever or, more recently, chikungunya. These viruses are arthropod-borne viruses (arboviruses) transmitted by arthropods like mosquitoes of Aedes genus. The nature of these arboviruses is complex since it conjugates human, environmental, biological and geographical factors. Recent researchs have suggested, in particular during the Réunion Island epidemic in 2006, that the transmission by Aedes albopictus (an Aedes genus specie) has been facilitated by genetic mutations of the virus and the vector capacity to adapt to non tropical regions. In this paper we formulate an optimal control problem, based on biological observations. Three main efforts are considered in order to limit the virus transmission. Indeed, there is no vaccine nor specific treatment against chikungunya, that is why the main …","15471063, 15510018",2.404
Generating multi-scroll chaotic attractors by thresholding,Physics Letters A,"This Letter proposes a novel thresholding approach for creating multi-scroll chaotic attractors. The general jerk circuit and Chua's circuit with sine nonlinearity are then used as two representative examples to show the working principle of this method. The controlled jerk circuit can generate various limit cycles and multi-scroll chaotic attractors by tuning the thresholds and the width of inner threshold plateau. The dynamic mechanism of threshold control is further explored by analyzing the system dynamical behaviors. In particular, this approach is effective and easy to be implemented since we only need to monitor the threshold variables or their functions and then reset them if they exceed the desired thresholds. Furthermore, two simple block circuit diagrams with threshold controllers are designed for the implementations of 1, 2, 3-scroll chaotic attractors. It indicates the potential engineering applications for various …","00036951, 10773118",3.462
Synchronization and control of coupled reaction–diffusion systems of the FitzHugh–Nagumo type,Computers & Mathematics with Applications,"We consider a FitzHugh–Nagumo reaction–diffusion type system (FHN). The dynamics of the reaction part induces a unique repulsive stationary point (0,0) and a unique attractive limit cycle. After a description of the asymptotic behaviour of the FHN system, we deal with the synchronization and control analysis of N coupled FHN systems.",08981221,3.084
Synchronization of chaos,Laboratory Diagnostics. Eastern Europe,"Synchronization is a ubiquitous phenomenon characteristic of many processes in natural systems and (nonlinear) science. It has permanently remained an objective of intensive research and is today considered as one of the basic nonlinear phenomena studied in mathematics, physics, engineering, or life science. This word has a Greek root, syn= common and chronos= time, which means to share the common time or to occur at the same time, that is, correlation or agreement in time of different processes (Boccaletti et al. 2002). Thus, synchronization of two dynamical systems generally means that one system somehow traces the motion of another. Indeed, it is well known that many coupled oscillators have the ability to adjust some common relation that they have between them due to weak interaction, which yields to a situation in which a synchronization-like phenomenon takes place.
The original work on …","22265392, 2522137X",0.263
Dynamics of a Hénon–Lozi-type map,"Chaos, Solitons & Fractals","We present and analyze a smooth version of the piecewise linear Lozi map. The principal motivation for this work is to develop a map, which is better amenable for an analytical treatment as compared to the Hénon map and is one that still possesses the characteristics of a Hénon-type dynamics. This paper is a first step. It does the comparison of the Lozi map (which is a piecewise linear version of the Hénon map) with the map that we introduce. This comparison is done for fixed parameters and also through global bifurcation by changing a parameter. If ε measures the degree of smoothness, we prove that, as ε → 0 , the stability and the existence of the fixed points are the same for both maps. We also numerically compare the chaotic dynamics, both in the form of an attractor and of a chaotic saddle.",09600779,5.969
Persistence and global stability in a delayed Leslie–Gower type three species food chain,Journal of Mathematical Analysis and Applications,"Our investigation concerns the three-dimensional delayed continuous time dynamical system which models a predator–prey food chain. This model is based on the Holling-type II and a Leslie–Gower modified functional response. This model can be considered as a first step towards a tritrophic model (of Leslie–Gower and Holling–Tanner type) with inverse trophic relation and time delay. That is when a certain species that is usually eaten can consume immature predators. It is proved that the system is uniformly persistent under some appropriate conditions. By constructing a proper Lyapunov function, we obtain a sufficient condition for global stability of the positive equilibrium.","0022247X, 10960813",1.396
Differential equations with multispiral attractors,International Journal of Bifurcation and Chaos,"A system of nonautonomous differential equations having Chua's piecewise-linearity is studied. A brief discussion about equilibrium points and their stability is given. It is also extended to obtain a system showing ""multispiral"" strange attractors, and some of the fundamental routes to ""multispiral chaos"" and bifurcation phenomena are demonstrated with various examples. The same work is done for other systems of autonomous or nonautonomous differential equations. This is achieved by modifying Chua's piecewise-linearity in order to have additional segments. The evolution of the dynamics and a mechanism for the development of multispiral strange attractors are discussed.","02181274, 17936551",2.088
From System Complexity to Emergent Properties,Lecture Notes in Computer Science,"Emergence and complexity refer to the appearance of higher-level properties and behaviours of a system that obviously comes from the collective dynamics of that system's components. These properties are not directly deducible from the lower-level motion of that system. Emergent properties are properties of the"" whole''that are not possessed by any of the individual parts making up that whole. Such phenomena exist in various domains and can be described, using complexity concepts and thematic knowledges. This book highlights complexity modelling through dynamical or behavioral systems. The pluridisciplinary purposes, developed along the chapters, are able to design links between a wide-range of fundamental and applicative Sciences. Developing such links-instead of focusing on specific and narrow researches-is characteristic of the Science of Complexity that we try to promote by this contribution.","03029743, 16113349",1.09
Optimal harvesting and stability for a prey–predator model,Nonlinear Analysis: Real World Applications,"This paper describes a fish prey–predator model with a new functional response. The dynamics of the system is discussed mainly from the point of view of permanence and stability. We obtain conditions that affect the persistence of the system. Local asymptotic stability of various equilibrium solutions is explored to understand the dynamics of the model system. The global asymptotic stability of positive interior equilibrium solution is established using suitable Lyapunov functional. We then examine possibilities of the existence of bionomic equilibrium. Lastly, the optimal harvesting policy is obtained by using the Pontryagin’s maximum principle. The objective is to maximize the monetary social benefit as well as conservation of the ecosystem.",14681218,2.179
"Difference equations versus differential equations, a possible equivalence for the Rössler system?",Physica D: Nonlinear Phenomena,"When a set of nonlinear differential equations is investigated, most of time there is no analytical solution and only numerical integration techniques can provide accurate numerical solutions. In a general way the process of numerical integration is the replacement of a set of differential equations with a continuous dependence on the time by a model for which the time variable is discrete. In numerical investigations a fourth-order Runge–Kutta integration scheme is usually sufficient. Nevertheless, sometimes a set of difference equations may be required and, in this case, standard schemes like the forward Euler, backward Euler or central difference schemes are used. The major problem encountered with these schemes is that they offer numerical solutions equivalent to those of the set of differential equations only for sufficiently small integration time steps. In some cases, it may be of interest to obtain difference …",01672789,3.117
Should all the species of a food chain be counted to investigate the global dynamics?,"Chaos, Solitons & Fractals","A fairly realistic three-species food-chain model based on Lotka–Volterra and Leslie–Gower schemes is investigated assuming that just a single scalar time series is available. The paper uses tools borrowed from the theory of nonlinear dynamical systems. The quality of the different phase portraits reconstructed is tested. Such a situation would arise in practice whenever only a single species is counted. It is found that the dynamical analysis can be safely performed when a single species involved in the food chain is counted if many thousands of observations are available. If not, a global model can be obtained from the available data and subsequently used to produce all the data required for a detailed analysis. In this case, however, the choice of which species to consider in order to obtain a model is crucially important.",09600779,5.969
Chaos in fractional order cubic Chua system and synchronization,International Journal of Bifurcation and Chaos,"This paper deals with fractional order Chua system with cubic nonlinearity (cubic Chua system), which is a modification of Chua system. The aim is, first, to study the chaotic behavior in fractional order cubic Chua system. We found that chaos indeed exists in the fractional version of this system. The necessary condition for exhibiting chaotic attractors similar to its integer order counterpart is presented. This condition is used to distinguish for which parameters and orders the system generates double scroll chaotic attractors. The synchronization problem between two coupled chaotic fractional order cubic Chua systems is then addressed. An adaptive feedback control scheme for the synchronization with suitable feedback nonlinear controller applied to the response system is presented. Numerical simulations are performed to verify the theoretical analysis.","02181274, 17936551",2.088
Asymptotic analysis of a new piecewise-linear chaotic system,International Journal of Bifurcation and Chaos,"Dynamical behavior of a new piecewise-linear continuous-time three-dimensional autonomous chaotic system is studied. System equilibria and their stabilities are discussed. Routes to chaos and bifurcations of the system are demonstrated with various numerical examples, where the chaotic features are justified numerically via computing the system fractal dimensions, Lyapunov exponents and power spectrum.","02181274, 17936551",2.088
Turing and Hopf patterns formation in a predator-prey model with Leslie-Gower-type functional response,"Dynamics of Continuous, Discrete & Impulsive Systems B",In this paper we consider a predator-prey system modeled by a reactiondiffusion equation. It incorporates the Holling-type-II and a modified Lesie-Gower functional responses. We focus on spatiotemporal patterns formation. We study how diffusion affects the stability of predator-prey positive equilibrium and derive the conditions for,14928760,0.553
Dynamics of a predator-prey model with diffusion,Dyn. Contin. Discrete Impuls. Syst,"In this paper we consider a predator-prey model given by a reaction-diffusion system. It incorporates the Holling-type-II and a modified Leslie-Gower functional responses. We focus on the positive equilibrium global stability, bifurcations and mecanisms responsible for transitions between different kind of dynamics.",14928760,0.553
Canard phenomenon in a slow-fast modified Leslie–Gower model,Mathematical Biosciences,Geometrical Singular Perturbation Theory has been successful to investigate a broad range of biological problems with different time scales. The aim of this paper is to apply this theory to a predator-prey model of modified Leslie–Gower type for which we consider that prey reproduces mush faster than predator. This naturally leads to introduce a small parameter ϵ which gives rise to a slow-fast system. This system has a special folded singularity which has not been analyzed in the classical work [15]. We use the blow-up technique to visualize the behavior near this fold point P. Outside of this region the dynamics are given by classical regular and singular perturbation theory. This allows to quantify geometrically the attractive limit-cycle with an error of O(ϵ) and shows that it exhibits the canard phenomenon while crossing P.,"00255564, 18793134",2.197
Diffusion driven instability and Hopf bifurcation in spatial predator-prey model on a circular domain,Applied Mathematics and Computation,"In this paper, we investigate theoretically and numerically a 2-D spatio-temporal dynamics of a predator-prey mathematical model which incorporates the Holling type II and a modified Leslie–Gower functional response and logistic growth of the prey. This system is modeled by a reaction diffusion equations defined on a disc domain {(x, y)∈ R 2/x 2+ y 2< R 2} with Dirichlet initial conditions and Neumann boundary conditions. We study the local and global stability of the positive equilibrium point. We show that the diffusion can induce instability of the uniform equilibrium point which is stable with respect to a constant perturbation as shown by Turing in 1950s and derive the conditions for Hopf and Turing bifurcation in the spatial domain. Numerical results are given in order to illustrate how biological processes affect spatiotemporal pattern formation in a spatial domain. We perform the computations and generalize, on …","00963003, 18735649",3.991
Optimal intervention strategies for tuberculosis,Communications in Nonlinear Science and Numerical Simulation,"This paper deals with the problem of optimal control of a deterministic model of tuberculosis (abbreviated as TB for tubercle bacillus). We first present and analyze an uncontrolled tuberculosis model which incorporates the essential biological and epidemiological features of the disease. The model is shown to exhibit the phenomenon of backward bifurcation, where a stable disease-free equilibrium co-exists with one or more stable endemic equilibria when the associated basic reproduction number is less than the unity. Based on this continuous model, the tuberculosis control is formulated and solved as an optimal control problem, indicating how control terms on the chemoprophylaxis and detection should be introduced in the population to reduce the number of individuals with active TB. Results provide a framework for designing the cost-effective strategies for TB with two intervention methods.",10075704,3.864
